Node,Hour,Scenario,Load
1,1,1,0.0
2,1,1,0.0007276436400000001
3,1,1,0.0011389204800000001
4,1,1,0.0028473012000000005
5,1,1,0.0022462042799999997
6,1,1,0.00256257108
7,1,1,0.0007276436400000001
8,1,1,0.0015185606400000002
9,1,1,0.0015185606400000002
10,1,1,0.0011389204800000001
11,1,1,0.00240438768
12,1,1,0.0022462042799999997
13,1,1,0.0028473012000000005
14,1,1,0.0007276436400000001
15,1,1,0.0011389204800000001
16,1,1,0.0028473012000000005
17,1,1,0.0022462042799999997
18,1,1,0.00256257108
19,1,1,0.0007276436400000001
20,1,1,0.0015185606400000002
21,1,1,0.0015185606400000002
22,1,1,0.0011389204800000001
23,1,1,0.00240438768
24,1,1,0.0022462042799999997
25,1,1,0.0028473012000000005
26,1,1,0.0007276436400000001
27,1,1,0.0011389204800000001
28,1,1,0.0028473012000000005
29,1,1,0.0022462042799999997
30,1,1,0.00256257108
31,1,1,0.0007276436400000001
32,1,1,0.0015185606400000002
33,1,1,0.0015185606400000002
34,1,1,0.0011389204800000001
1,2,1,0.0
2,2,1,0.0007276436400000001
3,2,1,0.0011389204800000001
4,2,1,0.0028473012000000005
5,2,1,0.0022462042799999997
6,2,1,0.00256257108
7,2,1,0.0007276436400000001
8,2,1,0.0015185606400000002
9,2,1,0.0015185606400000002
10,2,1,0.0011389204800000001
11,2,1,0.00240438768
12,2,1,0.0022462042799999997
13,2,1,0.0028473012000000005
14,2,1,0.0007276436400000001
15,2,1,0.0011389204800000001
16,2,1,0.0028473012000000005
17,2,1,0.0022462042799999997
18,2,1,0.00256257108
19,2,1,0.0007276436400000001
20,2,1,0.0015185606400000002
21,2,1,0.0015185606400000002
22,2,1,0.0011389204800000001
23,2,1,0.00240438768
24,2,1,0.0022462042799999997
25,2,1,0.0028473012000000005
26,2,1,0.0007276436400000001
27,2,1,0.0011389204800000001
28,2,1,0.0028473012000000005
29,2,1,0.0022462042799999997
30,2,1,0.00256257108
31,2,1,0.0007276436400000001
32,2,1,0.0015185606400000002
33,2,1,0.0015185606400000002
34,2,1,0.0011389204800000001
1,3,1,0.0
2,3,1,0.0006960069600000001
3,3,1,0.0011389204800000001
4,3,1,0.0027840278400000002
5,3,1,0.0022462042799999997
6,3,1,0.0025309344
7,3,1,0.0006960069600000001
8,3,1,0.0014552872800000002
9,3,1,0.0014552872800000002
10,3,1,0.00098073708
11,3,1,0.002372751
12,3,1,0.0022462042799999997
13,3,1,0.0027840278400000002
14,3,1,0.0006960069600000001
15,3,1,0.0011389204800000001
16,3,1,0.0027840278400000002
17,3,1,0.0022462042799999997
18,3,1,0.0025309344
19,3,1,0.0006960069600000001
20,3,1,0.0014552872800000002
21,3,1,0.0014552872800000002
22,3,1,0.00098073708
23,3,1,0.002372751
24,3,1,0.0022462042799999997
25,3,1,0.0027840278400000002
26,3,1,0.0006960069600000001
27,3,1,0.0011389204800000001
28,3,1,0.0027840278400000002
29,3,1,0.0022462042799999997
30,3,1,0.0025309344
31,3,1,0.0006960069600000001
32,3,1,0.0014552872800000002
33,3,1,0.0014552872800000002
34,3,1,0.00098073708
1,4,1,0.0
2,4,1,0.0007276436400000001
3,4,1,0.0011705571599999998
4,4,1,0.00272075448
5,4,1,0.0021829309200000003
6,4,1,0.0024676610400000006
7,4,1,0.0007276436400000001
8,4,1,0.0014236506000000003
9,4,1,0.0014236506000000003
10,4,1,0.0008541903600000002
11,4,1,0.0023411143199999996
12,4,1,0.0021829309200000003
13,4,1,0.00272075448
14,4,1,0.0007276436400000001
15,4,1,0.0011705571599999998
16,4,1,0.00272075448
17,4,1,0.0021829309200000003
18,4,1,0.0024676610400000006
19,4,1,0.0007276436400000001
20,4,1,0.0014236506000000003
21,4,1,0.0014236506000000003
22,4,1,0.0008541903600000002
23,4,1,0.0023411143199999996
24,4,1,0.0021829309200000003
25,4,1,0.00272075448
26,4,1,0.0007276436400000001
27,4,1,0.0011705571599999998
28,4,1,0.00272075448
29,4,1,0.0021829309200000003
30,4,1,0.0024676610400000006
31,4,1,0.0007276436400000001
32,4,1,0.0014236506000000003
33,4,1,0.0014236506000000003
34,4,1,0.0008541903600000002
1,5,1,0.0
2,5,1,0.000790917
3,5,1,0.00129710388
4,5,1,0.0026891178000000003
5,5,1,0.0021829309200000003
6,5,1,0.0024676610400000006
7,5,1,0.000790917
8,5,1,0.0014236506000000003
9,5,1,0.0014236506000000003
10,5,1,0.0007592803200000001
11,5,1,0.00230947764
12,5,1,0.0021829309200000003
13,5,1,0.0026891178000000003
14,5,1,0.000790917
15,5,1,0.00129710388
16,5,1,0.0026891178000000003
17,5,1,0.0021829309200000003
18,5,1,0.0024676610400000006
19,5,1,0.000790917
20,5,1,0.0014236506000000003
21,5,1,0.0014236506000000003
22,5,1,0.0007592803200000001
23,5,1,0.00230947764
24,5,1,0.0021829309200000003
25,5,1,0.0026891178000000003
26,5,1,0.000790917
27,5,1,0.00129710388
28,5,1,0.0026891178000000003
29,5,1,0.0021829309200000003
30,5,1,0.0024676610400000006
31,5,1,0.000790917
32,5,1,0.0014236506000000003
33,5,1,0.0014236506000000003
34,5,1,0.0007592803200000001
1,6,1,0.0
2,6,1,0.0009491004000000001
3,6,1,0.0015185606400000002
4,6,1,0.0026891178000000003
5,6,1,0.00230947764
6,6,1,0.0025309344
7,6,1,0.0009491004000000001
8,6,1,0.00148692396
9,6,1,0.00148692396
10,6,1,0.0006960069600000001
11,6,1,0.00243602436
12,6,1,0.00230947764
13,6,1,0.0026891178000000003
14,6,1,0.0009491004000000001
15,6,1,0.0015185606400000002
16,6,1,0.0026891178000000003
17,6,1,0.00230947764
18,6,1,0.0025309344
19,6,1,0.0009491004000000001
20,6,1,0.00148692396
21,6,1,0.00148692396
22,6,1,0.0006960069600000001
23,6,1,0.00243602436
24,6,1,0.00230947764
25,6,1,0.0026891178000000003
26,6,1,0.0009491004000000001
27,6,1,0.0015185606400000002
28,6,1,0.0026891178000000003
29,6,1,0.00230947764
30,6,1,0.0025309344
31,6,1,0.0009491004000000001
32,6,1,0.00148692396
33,6,1,0.00148692396
34,6,1,0.0006960069600000001
1,7,1,0.0
2,7,1,0.0012338305200000003
3,7,1,0.0018349274399999998
4,7,1,0.0026891178000000003
5,7,1,0.00259420776
6,7,1,0.0026891178000000003
7,7,1,0.0012338305200000003
8,7,1,0.00164510736
9,7,1,0.00164510736
10,7,1,0.0006960069600000001
11,7,1,0.0026574811199999997
12,7,1,0.00259420776
13,7,1,0.0026891178000000003
14,7,1,0.0012338305200000003
15,7,1,0.0018349274399999998
16,7,1,0.0026891178000000003
17,7,1,0.00259420776
18,7,1,0.0026891178000000003
19,7,1,0.0012338305200000003
20,7,1,0.00164510736
21,7,1,0.00164510736
22,7,1,0.0006960069600000001
23,7,1,0.0026574811199999997
24,7,1,0.00259420776
25,7,1,0.0026891178000000003
26,7,1,0.0012338305200000003
27,7,1,0.0018349274399999998
28,7,1,0.0026891178000000003
29,7,1,0.00259420776
30,7,1,0.0026891178000000003
31,7,1,0.0012338305200000003
32,7,1,0.00164510736
33,7,1,0.00164510736
34,7,1,0.0006960069600000001
1,8,1,0.0
2,8,1,0.0016134706800000002
3,8,1,0.0021829309200000003
4,8,1,0.00272075448
5,8,1,0.0029105745600000003
6,8,1,0.00287893788
7,8,1,0.0016134706800000002
8,8,1,0.0018982008000000001
9,8,1,0.0018982008000000001
10,8,1,0.0007276436400000001
11,8,1,0.0029105745600000003
12,8,1,0.0029105745600000003
13,8,1,0.00272075448
14,8,1,0.0016134706800000002
15,8,1,0.0021829309200000003
16,8,1,0.00272075448
17,8,1,0.0029105745600000003
18,8,1,0.00287893788
19,8,1,0.0016134706800000002
20,8,1,0.0018982008000000001
21,8,1,0.0018982008000000001
22,8,1,0.0007276436400000001
23,8,1,0.0029105745600000003
