Hour,res1,res4,res5,off1,off4,ind1,ind2,ind3,L2,L3,L4,L6,L8
1,0.9,0.36,0.48,0.23,0.36,0.71,0.81,0.76,0.44,0.32,0.06,0.56,0.85
2,0.9,0.36,0.48,0.23,0.36,0.71,0.81,0.76,0.45,0.33,0.13,0.6,0.8
3,0.88,0.31,0.46,0.22,0.36,0.71,0.8,0.75,0.54,0.4,0.16,0.65,0.78
4,0.86,0.27,0.45,0.23,0.37,0.69,0.78,0.74,0.6,0.44,0.15,0.58,0.75
5,0.85,0.24,0.45,0.25,0.41,0.69,0.78,0.73,0.65,0.48,0.21,0.67,0.7
6,0.85,0.22,0.47,0.3,0.48,0.73,0.8,0.77,0.7,0.51,0.25,0.71,0.65
7,0.85,0.22,0.52,0.39,0.58,0.82,0.85,0.84,0.75,0.55,0.26,0.75,0.6
8,0.86,0.23,0.6,0.51,0.69,0.92,0.91,0.92,0.78,0.57,0.31,0.79,0.55
9,0.87,0.25,0.68,0.63,0.8,0.98,0.97,0.97,0.8,0.59,0.34,0.79,0.5
10,0.88,0.3,0.73,0.75,0.88,1.0,0.99,0.99,0.85,0.62,0.33,0.75,0.44
11,0.89,0.37,0.75,0.84,0.94,1.0,0.99,1.0,0.9,0.66,0.42,0.81,0.45
12,0.9,0.47,0.76,0.92,0.97,1.0,0.99,1.0,0.95,0.7,0.41,0.76,0.54
13,0.92,0.58,0.76,0.97,0.99,1.0,1.0,1.0,1.0,0.73,0.53,0.84,0.6
14,0.93,0.7,0.78,1.0,0.99,1.0,1.0,1.0,0.95,0.7,0.51,0.79,0.65
15,0.94,0.81,0.79,1.0,0.96,0.98,0.99,0.98,0.9,0.66,0.66,0.78,0.7
16,0.96,0.9,0.82,0.96,0.91,0.94,0.97,0.96,0.8,0.59,0.55,0.8,0.75
17,0.97,0.97,0.85,0.88,0.83,0.9,0.94,0.92,0.75,0.55,0.56,0.87,0.78
18,0.99,1.0,0.87,0.77,0.73,0.86,0.91,0.89,0.7,0.51,0.55,0.83,0.8
19,1.0,0.98,0.85,0.67,0.64,0.83,0.9,0.86,0.65,0.48,0.47,0.8,0.85
20,1.0,0.93,0.8,0.58,0.56,0.82,0.89,0.85,0.6,0.44,0.41,0.82,0.9
21,0.99,0.85,0.73,0.5,0.5,0.81,0.88,0.85,0.55,0.4,0.34,0.79,0.95
22,0.98,0.75,0.66,0.44,0.45,0.8,0.88,0.84,0.5,0.37,0.26,0.7,1.0
23,0.96,0.65,0.6,0.38,0.42,0.78,0.87,0.82,0.48,0.35,0.24,0.7,0.95
24,0.94,0.55,0.56,0.32,0.39,0.75,0.84,0.8,0.45,0.33,0.21,0.63,0.9
