#Scenario,Hour,Loading Factor
1,1,0.87
1,2,0.94
1,3,0.91
1,4,1.23
1,5,1.09
1,6,1.17
1,7,1.08
1,8,1.24
1,9,0.74
1,10,1.14
1,11,1.06
1,12,1.04
1,13,1.05
1,14,0.83
1,15,1.01
1,16,1.12
1,17,0.99
1,18,1.1
1,19,1.06
1,20,0.98
1,21,1.1
1,22,1.1
1,23,0.93
1,24,0.92
2,1,0.87
2,2,0.94
2,3,0.91
2,4,1.23
2,5,1.09
2,6,1.17
2,7,1.08
2,8,1.24
2,9,0.74
2,10,1.14
2,11,1.06
2,12,1.04
2,13,1.05
2,14,0.83
2,15,1.01
2,16,1.12
2,17,0.99
2,18,1.1
2,19,1.06
2,20,0.98
2,21,1.1
2,22,1.0
2,23,0.79
2,24,1.12
3,1,0.87
3,2,0.94
3,3,0.91
3,4,1.19
3,5,0.85
3,6,1.03
3,7,0.87
3,8,0.9
3,9,0.88
3,10,1.08
3,11,1.07
3,12,0.9
3,13,1.04
3,14,0.92
3,15,1.01
3,16,0.56
3,17,1.03
3,18,1.01
3,19,1.0
3,20,0.91
3,21,0.93
3,22,1.02
3,23,1.09
3,24,1.22
4,1,0.87
4,2,0.94
4,3,0.91
4,4,1.23
4,5,1.09
4,6,1.17
4,7,1.08
4,8,1.24
4,9,0.74
4,10,0.81
4,11,1.04
4,12,0.91
4,13,1.17
4,14,1.06
4,15,0.93
4,16,0.84
4,17,1.08
4,18,1.26
4,19,0.94
4,20,0.94
4,21,1.4
4,22,0.95
4,23,1.09
4,24,0.91
5,1,0.87
5,2,0.94
5,3,0.91
5,4,1.23
5,5,1.09
5,6,1.17
5,7,1.08
5,8,1.24
5,9,0.74
5,10,1.14
5,11,1.06
5,12,1.04
5,13,1.05
5,14,0.83
5,15,1.01
5,16,1.31
5,17,0.77
5,18,0.67
5,19,1.07
5,20,1.2
5,21,1.36
5,22,0.98
5,23,0.85
5,24,0.0
