#Scenario,Hour,Power Availability (pu)
1,1,0.35
1,2,0.31
1,3,0.27
1,4,0.32
1,5,0.29
1,6,0.32
1,7,0.33
1,8,0.42
1,9,0.36
1,10,0.3
1,11,0.19
1,12,0.13
1,13,0.13
1,14,0.1
1,15,0.09
1,16,0.08
1,17,0.1
1,18,0.12
1,19,0.19
1,20,0.24
1,21,0.23
1,22,0.26
1,23,0.27
1,24,0.3
2,1,0.35
2,2,0.31
2,3,0.27
2,4,0.32
2,5,0.29
2,6,0.32
2,7,0.33
2,8,0.42
2,9,0.36
2,10,0.3
2,11,0.19
2,12,0.13
2,13,0.13
2,14,0.1
2,15,0.09
2,16,0.08
2,17,0.1
2,18,0.12
2,19,0.19
2,20,0.24
2,21,0.23
2,22,0.28
2,23,0.28
2,24,0.28
3,1,0.35
3,2,0.31
3,3,0.27
3,4,0.34
3,5,0.3
3,6,0.32
3,7,0.36
3,8,0.5
3,9,0.37
3,10,0.27
3,11,0.22
3,12,0.15
3,13,0.11
3,14,0.1
3,15,0.08
3,16,0.09
3,17,0.11
3,18,0.14
3,19,0.19
3,20,0.2
3,21,0.27
3,22,0.25
3,23,0.28
3,24,0.27
4,1,0.35
4,2,0.31
4,3,0.27
4,4,0.32
4,5,0.29
4,6,0.32
4,7,0.33
4,8,0.42
4,9,0.36
4,10,0.3
4,11,0.17
4,12,0.15
4,13,0.1
4,14,0.09
4,15,0.12
4,16,0.09
4,17,0.1
4,18,0.12
4,19,0.17
4,20,0.23
4,21,0.24
4,22,0.26
4,23,0.28
4,24,0.26
5,1,0.35
5,2,0.31
5,3,0.27
5,4,0.32
5,5,0.29
5,6,0.32
5,7,0.33
5,8,0.42
5,9,0.36
5,10,0.3
5,11,0.19
5,12,0.13
5,13,0.13
5,14,0.1
5,15,0.09
5,16,0.1
5,17,0.09
5,18,0.12
5,19,0.18
5,20,0.23
5,21,0.26
5,22,0.28
5,23,0.23
5,24,0.29
