#Scenario,Hour,Power Availability (pu)
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.16
1,9,0.33
1,10,0.6
1,11,0.84
1,12,0.9
1,13,1.07
1,14,0.97
1,15,0.9
1,16,0.67
1,17,0.41
1,18,0.16
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.16
2,9,0.33
2,10,0.6
2,11,0.84
2,12,0.9
2,13,1.07
2,14,0.97
2,15,0.9
2,16,0.67
2,17,0.41
2,18,0.16
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.2
3,9,0.37
3,10,0.78
3,11,0.83
3,12,0.88
3,13,0.75
3,14,0.91
3,15,0.78
3,16,0.7
3,17,0.39
3,18,0.19
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.16
4,9,0.33
4,10,0.68
4,11,1.07
4,12,0.93
4,13,1.01
4,14,0.92
4,15,0.94
4,16,0.66
4,17,0.32
4,18,0.17
4,19,0.0
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
4,24,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.16
5,9,0.33
5,10,0.6
5,11,0.84
5,12,0.9
5,13,1.07
5,14,0.97
5,15,0.9
5,16,0.72
5,17,0.38
5,18,0.17
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
5,24,0.0
