index0,index1,index2,Block_Dispatch_t.val
1,1,1,0.1
1,1,2,0.1
1,1,3,0.1
1,1,4,0.1
1,1,5,0.1
1,1,6,0.1
1,1,7,0.1
1,1,8,0.1
1,1,9,0.1
1,1,10,0.1
1,1,11,0.1
1,1,12,0.1
1,1,13,0.1
1,1,14,0.1
1,1,15,0.1
1,1,16,0.1
1,1,17,0.1
1,1,18,0.1
1,1,19,0.1
1,1,20,0.1
1,1,21,0.1
1,1,22,0.1
1,1,23,0.1
1,1,24,0.1
1,2,1,0.1
1,2,2,0.0
1,2,3,0.0
1,2,4,0.0
1,2,5,0.04160964641764661
1,2,6,0.1
1,2,7,0.1
1,2,8,0.1
1,2,9,0.1
1,2,10,0.1
1,2,11,0.1
1,2,12,0.1
1,2,13,0.1
1,2,14,0.1
1,2,15,0.1
1,2,16,0.1
1,2,17,0.1
1,2,18,0.1
1,2,19,0.1
1,2,20,0.1
1,2,21,0.1
1,2,22,0.1
1,2,23,0.07885197127841642
1,2,24,0.0
1,3,1,0.0
1,3,2,0.0
1,3,3,0.0
1,3,4,0.0
1,3,5,0.0
1,3,6,0.0
1,3,7,0.0
1,3,8,0.0
1,3,9,0.01137711644472272
1,3,10,0.0
1,3,11,0.1
1,3,12,0.1
1,3,13,0.1
1,3,14,0.1
1,3,15,0.1
1,3,16,0.1
1,3,17,0.1
1,3,18,0.1
1,3,19,0.1
1,3,20,0.1
1,3,21,0.06047289315383797
1,3,22,0.0
1,3,23,0.0
1,3,24,0.0
1,4,1,0.0
1,4,2,0.0
1,4,3,0.0
1,4,4,0.0
1,4,5,0.0
1,4,6,0.0
1,4,7,0.0
1,4,8,0.0
1,4,9,0.0
1,4,10,0.0
1,4,11,0.0
1,4,12,0.0
1,4,13,0.0
1,4,14,0.0
1,4,15,0.0
1,4,16,0.0
1,4,17,0.0
1,4,18,0.0
1,4,19,0.0
1,4,20,0.0
1,4,21,0.0
1,4,22,0.0
1,4,23,0.0
1,4,24,0.0
1,5,1,0.0
1,5,2,0.0
1,5,3,0.0
1,5,4,0.0
1,5,5,0.0
1,5,6,0.0
1,5,7,0.0
1,5,8,0.0
1,5,9,0.0
1,5,10,0.0
1,5,11,0.0
1,5,12,0.0
1,5,13,0.0
1,5,14,0.0
1,5,15,0.0
1,5,16,0.0
1,5,17,0.0
1,5,18,0.0
1,5,19,0.0
1,5,20,0.0
1,5,21,0.0
1,5,22,0.0
1,5,23,0.0
1,5,24,0.0
2,1,1,0.15
2,1,2,0.15
2,1,3,0.15
2,1,4,0.15
2,1,5,0.15
2,1,6,0.15
2,1,7,0.15
2,1,8,0.15
2,1,9,0.15
2,1,10,0.15
2,1,11,0.15
2,1,12,0.15
2,1,13,0.15
2,1,14,0.15
2,1,15,0.15
2,1,16,0.15
2,1,17,0.15
2,1,18,0.15
