,Carbon_SE.val
1,10.54915394614939
2,26.57899655551171
3,32.17958973653391
4,34.93327371145334
5,18.92073200637834
6,18.65691068517739
7,22.9698377740133
8,31.25887152128318
9,34.3842720888501
10,31.07905057035758
11,25.64552301112647
12,25.36503675568645
13,31.00774576316982
14,28.65481066660506
15,28.18269930861101
16,30.13961881104948
17,31.70933488332236
18,29.32100478709287
19,25.8888803930463
20,21.92824610167456
21,20.81945682321518
22,12.61663579995464
23,12.45068245117368
24,25.89919381865737
