,DSO_MKT.val
1,-51.87491696413893
2,-40.66784645285787
3,-54.30224979327954
4,-53.80436490762816
5,-48.50942425391965
6,-58.62206647328777
7,-55.3044272970446
8,-55.47570805237847
9,-63.09367311973077
10,-55.16090924887162
11,-64.71573344990988
12,-64.59105018403099
13,-66.82317161636773
14,-57.5381545329541
15,-67.36798398542845
16,-60.28225362156212
17,-67.00367202370715
18,-58.76935932355013
19,-65.25350323019317
20,-58.62489144460416
21,-62.23041065262285
22,-48.75905489467682
23,-44.82924334103146
24,-47.77813982320062
