index0,index1,index2,P.val
1,2,1,-0.2036965727342158
1,2,2,-0.1532920681401345
1,2,3,-0.2027345369804312
1,2,4,-0.2027554015872263
1,2,5,-0.1745424198776533
1,2,6,-0.207409671400528
1,2,7,-0.1889674820752968
1,2,8,-0.1851551451562511
1,2,9,-0.2101699015963795
1,2,10,-0.1841011778502459
1,2,11,-0.2093206901564179
1,2,12,-0.2088881016222382
1,2,13,-0.2085961848060214
1,2,14,-0.1806707822609057
1,2,15,-0.2085651382739096
1,2,16,-0.1893676912731044
1,2,17,-0.2095088002486184
1,2,18,-0.1845725836419357
1,2,19,-0.2110666979204598
1,2,20,-0.1894277351814079
1,2,21,-0.2120095622436251
1,2,22,-0.1720243539397894
1,2,23,-0.1585948840877335
1,2,24,-0.1768481606690412
2,3,1,-0.2047682832884668
2,3,2,-0.1542593828909736
2,3,3,-0.2037679122899359
2,3,4,-0.2038252807269729
2,3,5,-0.1756232814566848
2,3,6,-0.2087456993229582
2,3,7,-0.1905893041555569
2,3,8,-0.187205854732881
2,3,9,-0.212713728774281
2,3,10,-0.1870237127927861
2,3,11,-0.212626978176771
2,3,12,-0.2124850441478738
2,3,13,-0.2123747752447791
2,3,14,-0.1844971453773064
2,3,15,-0.2124530757465189
2,3,16,-0.1930667948523335
2,3,17,-0.2129614820686686
2,3,18,-0.1875689626570238
2,3,19,-0.2137573678388902
2,3,20,-0.191742104424301
2,3,21,-0.2140832445712513
2,3,22,-0.1737922235610363
2,3,23,-0.1601186477880075
2,3,24,-0.1781887954506042
3,4,1,-0.2083786127839847
3,4,2,-0.156854216659067
3,4,3,-0.2073591081601624
3,4,4,-0.207455000829755
3,4,5,-0.178800731673152
3,4,6,-0.212897251830487
3,4,7,-0.1947079815619596
3,4,8,-0.1916596178760625
3,4,9,-0.2181314094825627
3,4,10,-0.1921734685944632
3,4,11,-0.2185537548205768
3,4,12,-0.21852091253252
3,4,13,-0.218483370732997
3,4,14,-0.1900031773585469
3,4,15,-0.2184525801089712
3,4,16,-0.1984548315137122
3,4,17,-0.21848825497631
3,4,18,-0.1921730920149351
3,4,19,-0.2185932245118124
3,4,20,-0.1958023803095311
3,4,21,-0.2184100050306349
3,4,22,-0.1770797750511545
3,4,23,-0.163042459923592
3,4,24,-0.1813430068569395
4,5,1,-0.03590178716196312
4,5,2,-0.03590175870147304
4,5,3,-0.03590179305623488
4,5,4,-0.03598906654334322
4,5,5,-0.03598906028191245
4,5,6,-0.03642134090834898
4,5,7,-0.03542179854677875
4,5,8,-0.03498544231048983
4,5,9,-0.06214902848556891
4,5,10,-0.04763689622843226
4,5,11,-0.06209087358991042
4,5,12,-0.0620908704458805
4,5,13,-0.06209087070399235
4,5,14,-0.05155808834730586
4,5,15,-0.06214905577620614
4,5,16,-0.06031744391353441
4,5,17,-0.06238178256869469
4,5,18,-0.05329578742770238
4,5,19,-0.06258541978437884
4,5,20,-0.0553033160448405
4,5,21,-0.06264357743427182
4,5,22,-0.04080107366455195
4,5,23,-0.0355963297145512
4,5,24,-0.035727272541656
4,6,1,-0.1761029655585508
4,6,2,-0.1244001066451172
4,6,3,-0.1750068597299871
4,6,4,-0.1749424915462557
4,6,5,-0.1461455104338946
4,6,6,-0.1799363433769667
4,6,7,-0.1626791479966069
4,6,8,-0.1600937799162447
4,6,9,-0.1594407822243838
4,6,10,-0.1479874982977417
4,6,11,-0.1599990706097232
4,6,12,-0.1600028354947329
4,6,13,-0.1600381629743386
4,6,14,-0.1420590829889552
4,6,15,-0.1600220923886689
4,6,16,-0.1418609696345114
4,6,17,-0.1599336690023224
4,6,18,-0.1427116874313958
4,6,19,-0.1599437887815184
4,6,20,-0.1443753602437163
4,6,21,-0.1596611639447422
4,6,22,-0.1400660005646697
4,6,23,-0.1311323891991306
4,6,24,-0.1492876458761168
6,7,1,-0.1791453425299836
6,7,2,-0.1273939775350758
6,7,3,-0.1780117897566826
6,7,4,-0.1778745459567201
6,7,5,-0.1490487180544739
6,7,6,-0.182946671094742
6,7,7,-0.165853202417052
6,7,8,-0.1634835854184218
6,7,9,-0.1630486433801777
6,7,10,-0.1516568555133572
6,7,11,-0.1636808947199752
6,7,12,-0.1636847181028381
6,7,13,-0.1637564847909421
6,7,14,-0.1457595775137007
6,7,15,-0.1637040561703994
6,7,16,-0.1454521073203019
6,7,17,-0.1634335156261975
6,7,18,-0.1460851784461055
6,7,19,-0.1632979602785643
6,7,20,-0.1476775128299928
6,7,21,-0.162941422212471
6,7,22,-0.1433277738287522
6,7,23,-0.1343501776682663
6,7,24,-0.1524121575433563
7,8,1,-0.1807517333257883
7,8,2,-0.1286163065654159
7,8,3,-0.1795729514742673
7,8,4,-0.1794712097724766
7,8,5,-0.1504902915758554
7,8,6,-0.1848439300559976
7,8,7,-0.1679369130354399
7,8,8,-0.1659876678455085
7,8,9,-0.1659908848971738
7,8,10,-0.1549493274036158
7,8,11,-0.1674017039258041
7,8,12,-0.1676990291270182
7,8,13,-0.1679545806955851
7,8,14,-0.1499254528684589
7,8,15,-0.1680120749149916
7,8,16,-0.1494693564160993
7,8,17,-0.1672995682316814
7,8,18,-0.1494111155423275
7,8,19,-0.1663930266450691
7,8,20,-0.1503189106148649
7,8,21,-0.1654047972032027
7,8,22,-0.1454246346052309
7,8,23,-0.1361668056555161
7,8,24,-0.1541347935923026
8,9,1,-0.1825283444076916
8,9,2,-0.1303775058895905
8,9,3,-0.1812764554876673
8,9,4,-0.181138303293636
8,9,5,-0.1521482559763745
8,9,6,-0.1865856199393287
8,9,7,-0.1698548378886604
8,9,8,-0.1681959520781441
8,9,9,-0.1684902214123405
8,9,10,-0.1576270865288534
8,9,11,-0.1701562440008811
8,9,12,-0.1704900483381029
8,9,13,-0.1707456799854664
8,9,14,-0.1527836412525444
8,9,15,-0.1709123318878126
8,9,16,-0.1524729120808133
8,9,17,-0.1704178474682028
8,9,18,-0.1525965262446084
8,9,19,-0.1695110077524096
8,9,20,-0.1532499598576615
8,9,21,-0.1680857598158907
8,9,22,-0.1478450176154154
8,9,23,-0.1383664463304405
8,9,24,-0.1561939388828272
9,10,1,-0.0692487822570959
9,10,2,-0.06925174218718981
9,10,3,-0.0694301912188628
9,10,4,-0.0696048315986839
