,P_DSO.val
1,-0.2033504505928198
2,-0.1530999999999044
3,-0.2023912056787061
4,-0.2024119863938834
5,-0.1742903535852712
6,-0.207049999999897
7,-0.1886699999995257
8,-0.184869999505296
9,-0.2098028833255439
10,-0.1838200000001385
11,-0.2089580049469938
12,-0.2085267869820502
13,-0.2082357422583846
14,-0.1804000000005894
15,-0.2082046991206694
16,-0.1890699999997696
17,-0.2091452511910924
18,-0.184289999671456
19,-0.2106981363253728
20,-0.1891299993732832
21,-0.2116371056308406
22,-0.171779999999624
23,-0.1583880287249826
24,-0.1765891284500225
