index0,index1,P_thermal_trans.val
1,1,0.2
1,2,0.1
1,3,0.1
1,4,0.1
1,5,0.1416096464176693
1,6,0.2
1,7,0.2
1,8,0.2
1,9,0.2113771164447682
1,10,0.2
1,11,0.3
1,12,0.3
1,13,0.3
1,14,0.3
1,15,0.3
1,16,0.3
1,17,0.3
1,18,0.3
1,19,0.3
1,20,0.3
1,21,0.2604728931538834
1,22,0.2
1,23,0.1788519712784392
1,24,0.1
2,1,0.3
2,2,0.3
2,3,0.3600087941221421
2,4,0.3019180136032836
2,5,0.45
2,6,0.45
2,7,0.45
2,8,0.45
2,9,0.45
2,10,0.45
2,11,0.45
2,12,0.45
2,13,0.5009942575796614
2,14,0.45
2,15,0.5605553006151354
2,16,0.45
2,17,0.4894647486481666
2,18,0.45
2,19,0.45
2,20,0.45
2,21,0.45
2,22,0.45
2,23,0.45
2,24,0.3993308713474351
3,1,0.0
3,2,0.110000000000241
3,3,0.110000000000241
3,4,0.110000000000241
3,5,0.1100000000000136
3,6,0.1100000000000136
3,7,0.1100000000000136
3,8,0.1100000000000136
3,9,0.1100000000000136
3,10,0.1100000000000136
3,11,0.1564819936191085
3,12,0.126613211586074
3,13,0.2200000000002547
3,14,0.2200000000002547
3,15,0.2200000000002547
3,16,0.2200000000002547
3,17,0.2200000000002547
3,18,0.2200000000002547
3,19,0.1485818624433443
3,20,0.1100000000000136
3,21,0.1100000000000136
3,22,0.110000000000241
3,23,0.110000000000241
3,24,0.110000000000241
4,1,0.0
4,2,0.1
4,3,0.1
4,4,0.1
4,5,0.1
4,6,0.1
4,7,0.1
4,8,0.2
4,9,0.2
4,10,0.2
4,11,0.2
4,12,0.2
4,13,0.2
4,14,0.2
4,15,0.2
4,16,0.2
4,17,0.2
4,18,0.2
4,19,0.2
4,20,0.2
4,21,0.1000000012158409
4,22,0.1
4,23,0.1
4,24,0.1
5,1,0.1077295494067256
5,2,0.1600000000000816
5,3,0.1600000002111071
5,4,0.1600000000000819
5,5,0.1600000000000819
5,6,0.1600000000000819
5,7,0.2400000000001226
5,8,0.2400000000649729
5,9,0.240000000252172
5,10,0.2400000000001226
5,11,0.2400000014486618
5,12,0.2400000015245846
5,13,0.3200000000001637
5,14,0.3200000000001634
5,15,0.3200000000001637
5,16,0.3200000000001637
5,17,0.3200000000001637
5,18,0.3200000000001637
5,19,0.2400000012303896
5,20,0.2400000006415906
5,21,0.2400000000001228
5,22,0.1600000000000819
5,23,0.1600000000000815
5,24,0.1600000002032929
