,Q_DSO.val
1,0.003401764464878121
2,0.002329343031863962
3,0.003358998455142335
4,0.003384642230465255
5,0.002856028637789495
6,0.003775541528030503
7,0.00363477925132189
8,0.003923057142554824
9,0.005051790537493728
10,0.004556518110298696
11,0.005673146657293336
12,0.00585223334887059
13,0.005973357478505264
14,0.005067075069398882
15,0.005977178114988073
16,0.005070341869004651
17,0.00555379559674791
18,0.004384570361662543
19,0.004870777999012301
20,0.003938614433833098
21,0.004324041808693692
22,0.003187445562893901
23,0.002751352654045815
24,0.002975302611132556
