index0,index1,Trans_Theta.val
1,1,0.02185566224439978
1,2,0.01495716055882457
1,3,0.01579027827227983
1,4,0.01335634223161719
1,5,0.0213886970636063
1,6,0.02455830328246152
1,7,0.02425444871368469
1,8,0.02261874323169928
1,9,0.02252708572550934
1,10,0.021897936160374
1,11,0.02827331003041778
1,12,0.02759965590848073
1,13,0.02913273900578456
1,14,0.02796180740421764
1,15,0.02973227442477875
1,16,0.02796643897216152
1,17,0.02944831689047833
1,18,0.02860645043653812
1,19,0.02857959819669619
1,20,0.02941598587889144
1,21,0.02834438582500807
1,22,0.02582448437961011
1,23,0.02485014244096659
1,24,0.01728493140719951
2,1,0.01581972328723754
2,2,0.01300812679925386
2,3,0.01406226125905573
2,4,0.0109826293991409
2,5,0.01868383472469612
2,6,0.0192393445540839
2,7,0.01885488079038897
2,8,0.01678524104458627
2,9,0.01599608387593504
2,10,0.0158732119970344
2,11,0.01802290075179475
2,12,0.01717053377838704
2,13,0.01911032655497473
2,14,0.01762875998719225
2,15,0.01986891196832821
2,16,0.01763462025794842
2,17,0.01950962369826483
2,18,0.01844441955566056
2,19,0.01841044371901336
2,20,0.01946871563340678
2,21,0.02045165106629709
2,22,0.02084142923587322
2,23,0.02085993421394355
2,24,0.01595342903705826
3,1,-0.003153792174503352
3,2,0.0002953843216948419
3,3,-0.002646847411646096
3,4,-0.002699795694179214
3,5,-0.004954264194648773
3,6,-0.008945027936352878
3,7,-0.0095875040656609
3,8,-0.01553509418367038
3,9,-0.01884617298002533
3,10,-0.01746499245783112
3,11,-0.02091760424906546
3,12,-0.02299113591270198
3,13,-0.02396498231388537
3,14,-0.0223107816805189
3,15,-0.0351434288550961
3,16,-0.02616890318669796
3,17,-0.02684501603092035
3,18,-0.02598853446546153
3,19,-0.02621468138329871
3,20,-0.02396862772564721
3,21,-0.01686265146547486
3,22,-0.008919305621176696
3,23,-0.006927956870416658
3,24,-0.006044296923208702
4,1,-0.009878752820508027
4,2,-0.00855635879372204
4,3,-0.01011781851538047
4,4,-0.009167060627697933
4,5,-0.01035580706990269
4,6,-0.01182977150856011
4,7,-0.01108404676485104
4,8,-0.0123263580201466
4,9,-0.01298286446119601
4,10,-0.01191340743025174
4,11,-0.01365584381824226
4,12,-0.0132870073947232
4,13,-0.01341671260930266
4,14,-0.01227566901504059
4,15,-0.01396345138066501
4,16,-0.01302754652678227
4,17,-0.01429651402788535
4,18,-0.01339095469848237
4,19,-0.01445729855512315
4,20,-0.01425305761450647
4,21,-0.01313498962005088
4,22,-0.0115547956390451
4,23,-0.01108127531178802
4,24,-0.01002869080021339
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
5,24,0.0
6,1,-0.03975036749029455
6,2,-0.02313057727324714
6,3,-0.02867713870296557
6,4,-0.02715870263464486
6,5,-0.03319514349991465
6,6,-0.03701643432358364
6,7,-0.03594674840728454
6,8,-0.0227061341050088
6,9,-0.0238132950453869
6,10,-0.02277659161034824
6,11,-0.02900321154582869
6,12,-0.02910535308899775
6,13,-0.03279954047531331
6,14,-0.02914285509162138
6,15,-0.0312965144385746
6,16,-0.02684175785001313
6,17,-0.02869863682634715
6,18,-0.02535906096894956
6,19,-0.0255529975849316
6,20,-0.02381864745507156
6,21,-0.03639612575522259
6,22,-0.03352610946050704
6,23,-0.03191087107036475
6,24,-0.02713780748006201
7,1,-0.02724242094182581
7,2,-0.01636977446552595
7,3,-0.02058100710784192
7,4,-0.01725907158194733
7,5,-0.02235409868779713
7,6,-0.02551258851033803
7,7,-0.01584030820622973
7,8,-0.01418297610641063
7,9,-0.01474870813631603
7,10,-0.01218884901009004
7,11,-0.01722306142220095
7,12,-0.01604828868122477
7,13,-0.01030723758812951
7,14,-0.00716367532893289
7,15,-0.009113811038206743
7,16,-0.007810661730254038
7,17,-0.01146769277199614
7,18,-0.008721954139174686
7,19,-0.01859193170210594
7,20,-0.01870284738437953
7,21,-0.02051249730878417
7,22,-0.02581156005401234
7,23,-0.02468018911598726
7,24,-0.02013018518069539
8,1,-0.00826586081383109
8,2,0.01181422553448842
8,3,0.007602992929344601
8,4,0.01092492841806709
8,5,0.005829901312217285
8,6,0.002671411489676385
8,7,0.02643569179379186
8,8,0.02809302390503434
8,9,0.02752729190810407
8,10,0.03008715098993155
8,11,0.02505293883298083
8,12,0.0262277115873308
8,13,0.04606076241189933
8,14,0.0492043246710959
8,15,0.0472541889618221
8,16,0.04855733826977481
8,17,0.0449003072280327
8,18,0.04764604586085415
8,19,0.02368406851462718
8,20,0.02357315272863665
8,21,0.02176350269123746
8,22,0.002372439946002079
8,23,0.003503810884027094
8,24,0.008053814855114649
9,1,-0.04822810755703563
9,2,-0.03808171234835411
9,3,-0.04368688877345623
9,4,-0.03911756774242389
9,5,-0.04626753907076601
9,6,-0.05031219299755816
9,7,-0.04474479466935564
9,8,-0.04156207157869747
9,9,-0.04208005069800903
9,10,-0.03873614824593946
9,11,-0.04550203775128656
9,12,-0.0439032928769093
9,13,-0.04387466220999497
9,14,-0.03967765179505307
9,15,-0.04176580152180434
9,16,-0.04026945901189947
9,17,-0.04518275856026792
9,18,-0.04146897227457219
9,19,-0.04716940353074522
9,20,-0.04744611094283262
9,21,-0.05079592074432537
9,22,-0.0509130962308124
9,23,-0.04943565535356297
9,24,-0.04304579341268486
10,1,-0.05258124730688395
10,2,-0.04098410703919362
10,3,-0.04656514461934249
10,4,-0.04242465144043359
10,5,-0.04912591448196558
10,6,-0.05288005967589571
10,7,-0.04786117690872929
10,8,-0.04261541987821859
10,9,-0.04295017914429046
10,10,-0.03970296216856874
10,11,-0.04649740726595375
10,12,-0.04582561184429205
10,13,-0.04689566263782301
10,14,-0.04304549107736325
10,15,-0.04539609599141775
10,16,-0.04356294080742938
10,17,-0.04805880062177273
10,18,-0.04447472805238128
10,19,-0.04944736409098825
10,20,-0.04961748148205527
10,21,-0.054858035164627
10,22,-0.05469514313789213
10,23,-0.05285579684633801
10,24,-0.04640348241765545
11,1,-0.04778265623295928
11,2,-0.03375226169327107
11,3,-0.03962415725034099
11,4,-0.03697698639163741
11,5,-0.04352264253201412
11,6,-0.0474807712191891
11,7,-0.04457298905922039
11,8,-0.03550223426152063
11,9,-0.03628484654875523
11,10,-0.03429457537708241
11,11,-0.0409810648420736
11,12,-0.04086047498115836
11,13,-0.04339067023750269
11,14,-0.03946455455018356
11,15,-0.04154740976394612
11,16,-0.03808435839284274
11,17,-0.04111278128157427
11,18,-0.03747782429195277
11,19,-0.03993185388159034
11,20,-0.03899537526274749
11,21,-0.04766930835051261
11,22,-0.04600550289461169
11,23,-0.04420785417198656
11,24,-0.03847789912990045
12,1,-0.0453245630129022
12,2,-0.02989060184374559
12,3,-0.0363951298392246
12,4,-0.03468751913218043
12,5,-0.04183499354169912
12,6,-0.04632068681020601
12,7,-0.04542961567229437
12,8,-0.03361131857675229
12,9,-0.03504018820205649
12,10,-0.03388340047849636
12,11,-0.04127807961026325
12,12,-0.04136139248987056
12,13,-0.04606324572244368
12,14,-0.04181721523988565
12,15,-0.04458268291131736
12,16,-0.03910345430465485
12,17,-0.04114994534385856
12,18,-0.03724677510336542
12,19,-0.03699704104345902
12,20,-0.03474874207802672
12,21,-0.0456990451612049
12,22,-0.04199527569059313
12,23,-0.04008862930490435
12,24,-0.03459669879648473
13,1,-0.04577836532869445
