index0,index1,VM.val
1,1,1.027735322284956
1,2,1.049772013349624
1,3,1.026332732154416
1,4,1.026297647306722
1,5,1.036686949087572
1,6,1.025386871411032
1,7,1.029449584162531
1,8,1.031242459456409
1,9,1.032013983483782
1,10,1.034118643770434
1,11,1.036112417246631
1,12,1.03580673548269
1,13,1.035453105238888
1,14,1.034415617942065
1,15,1.035155846694844
1,16,1.03345194202444
1,17,1.035470297724479
1,18,1.034190390155562
1,19,1.036434500652915
1,20,1.03365788108544
1,21,1.034636428041692
1,22,1.038900578514844
1,23,1.043297403048906
1,24,1.035610551591542
2,1,1.031184074246811
2,2,1.052371144991418
2,3,1.029765624589643
2,4,1.029730488215623
2,5,1.039643090323324
2,6,1.028893492545004
2,7,1.032641323860452
2,8,1.034364028800364
2,9,1.03554765208427
2,10,1.037211954096509
2,11,1.039621542730724
2,12,1.039305556644241
2,13,1.038944968455131
2,14,1.037441768592201
2,15,1.038647114784482
2,16,1.036627596076401
2,17,1.038984567318671
2,18,1.037294558196748
2,19,1.039986488563408
2,20,1.036852675480009
2,21,1.038213376486615
2,22,1.041808115277643
2,23,1.045980973845377
2,24,1.038604435117818
3,1,1.033536269499978
3,2,1.05414552955851
3,3,1.032106410464299
3,4,1.03207187236635
3,5,1.041661524053656
3,6,1.031289800600162
3,7,1.034829160081775
3,8,1.036511894992327
3,9,1.037984186731872
3,10,1.039355908434397
3,11,1.042054927821632
3,12,1.041736964490179
3,13,1.041374813101895
3,14,1.039555757878579
3,15,1.041078278712066
3,16,1.03884053416466
3,17,1.041423431126217
3,18,1.039446585582775
3,19,1.042437249921823
3,20,1.03905414030829
3,21,1.040670022745576
3,22,1.043805286208259
3,23,1.04782208533483
3,24,1.040652702505221
4,1,1.056660684546704
4,2,1.07159621407331
4,3,1.05511892912086
4,4,1.055095980293649
4,5,1.061533651303955
4,6,1.054916548832968
4,7,1.056461531631899
4,8,1.057813185890462
4,9,1.062184373881542
4,10,1.060725553189051
4,11,1.066301521383935
4,12,1.065981082007234
4,13,1.065614837607425
4,14,1.060693185564176
4,15,1.065314522669419
4,16,1.060905196646711
4,17,1.065662465263786
4,18,1.06081118527672
4,19,1.066686616767614
4,20,1.060808539148642
4,21,1.064899348749505
4,22,1.063491138503888
4,23,1.065960985807697
4,24,1.060806720072264
5,1,1.056768733519927
5,2,1.071699590256056
5,3,1.055226668299015
5,4,1.055203715370773
5,5,1.061638691130888
5,6,1.055026275613206
5,7,1.056568315938864
5,8,1.057919947151584
5,9,1.062373211703939
5,10,1.060864429826957
5,11,1.066505592837604
5,12,1.066185630536298
5,13,1.065819179692236
5,14,1.060842935105563
5,15,1.065519502826559
5,16,1.06107648196462
5,17,1.065867826172872
5,18,1.060964572650538
5,19,1.066892277730696
5,20,1.060966024591375
5,21,1.065089086183021
5,22,1.063610976296303
5,23,1.066066485161932
5,24,1.06091340128603
6,1,1.060662699195928
6,2,1.074414070061217
6,3,1.059097642745952
6,4,1.059075142933404
6,5,1.064854034785114
6,6,1.059004863422332
6,7,1.060143745513389
6,8,1.061422611623192
6,9,1.065572475101262
