index0,index1,lambda.val
1,1,255.6790807799442
1,2,297.4079939096449
1,3,297.4079943100996
1,4,297.4079943100996
1,5,295.393695450325
1,6,283.1300005900712
1,7,297.8948929610322
1,8,321.1869235530796
1,9,321.1869235530799
1,10,321.1869234935934
1,11,314.4895969423195
1,12,314.4895969423214
1,13,350.191367412608
1,14,350.191367412608
1,15,350.191367412608
1,16,350.1913672695463
1,17,350.191367412608
1,18,350.191367412608
1,19,314.4895969423211
1,20,314.4895969423219
1,21,297.8948929263157
1,22,295.3936946205438
1,23,295.3936953413264
1,24,297.4079943100995
2,1,255.6790807799442
2,2,297.4079939096449
2,3,297.4079943100996
2,4,297.4079943100996
2,5,295.393695450325
2,6,283.1300005900712
2,7,297.8948929610322
2,8,321.1869235530796
2,9,321.1869235530799
2,10,321.1869234935934
2,11,314.4895969423195
2,12,314.4895969423214
2,13,350.191367412608
2,14,350.191367412608
2,15,350.191367412608
2,16,350.1913672695463
2,17,350.191367412608
2,18,350.191367412608
2,19,314.4895969423211
2,20,314.4895969423219
2,21,297.8948929263157
2,22,295.3936946205438
2,23,295.3936953413264
2,24,297.4079943100995
3,1,255.6790807799442
3,2,297.4079939096449
3,3,297.4079943100996
3,4,297.4079943100996
3,5,295.393695450325
3,6,283.1300005900712
3,7,297.8948929610322
3,8,321.1869235530796
3,9,321.1869235530799
3,10,321.1869234935934
3,11,314.4895969423195
3,12,314.4895969423214
3,13,350.191367412608
3,14,350.191367412608
3,15,350.191367412608
3,16,350.1913672695463
3,17,350.191367412608
3,18,350.191367412608
3,19,314.4895969423211
3,20,314.4895969423219
3,21,297.8948929263157
3,22,295.3936946205438
3,23,295.3936953413264
3,24,297.4079943100995
4,1,255.6790807799442
4,2,297.4079939096449
4,3,297.4079943100996
4,4,297.4079943100996
4,5,295.393695450325
4,6,283.1300005900712
4,7,297.8948929610322
4,8,321.1869235530796
4,9,321.1869235530799
4,10,321.1869234935934
4,11,314.4895969423195
4,12,314.4895969423214
4,13,350.191367412608
4,14,350.191367412608
4,15,350.191367412608
4,16,350.1913672695463
4,17,350.191367412608
4,18,350.191367412608
4,19,314.4895969423211
4,20,314.4895969423219
4,21,297.8948929263157
4,22,295.3936946205438
4,23,295.3936953413264
4,24,297.4079943100995
5,1,255.6790807799442
5,2,297.4079939096449
5,3,297.4079943100996
5,4,297.4079943100996
5,5,295.393695450325
5,6,283.1300005900712
5,7,297.8948929610322
5,8,321.1869235530796
5,9,321.1869235530799
5,10,321.1869234935934
5,11,314.4895969423195
5,12,314.4895969423214
5,13,350.191367412608
5,14,350.191367412608
5,15,350.191367412608
5,16,350.1913672695463
5,17,350.191367412608
5,18,350.191367412608
5,19,314.4895969423211
5,20,314.4895969423219
5,21,297.8948929263157
5,22,295.3936946205438
5,23,295.3936953413264
5,24,297.4079943100995
6,1,255.6790807799441
6,2,297.4079939096449
6,3,297.4079943100995
6,4,297.4079943100996
6,5,295.3936954503249
6,6,283.1300005900711
6,7,297.8948929610322
6,8,321.1869235530796
6,9,321.1869235530798
6,10,321.1869234935934
6,11,314.4895969423194
6,12,314.4895969423214
6,13,350.191367412608
6,14,350.191367412608
6,15,350.191367412608
6,16,350.1913672695463
6,17,350.191367412608
6,18,350.191367412608
6,19,314.489596942321
6,20,314.4895969423218
6,21,297.8948929263156
6,22,295.3936946205438
6,23,295.3936953413263
6,24,297.4079943100995
7,1,255.6790807799441
7,2,297.4079939096448
7,3,297.4079943100995
7,4,297.4079943100995
7,5,295.3936954503249
7,6,283.1300005900711
7,7,297.8948929610322
7,8,321.1869235530796
7,9,321.1869235530797
7,10,321.1869234935934
7,11,314.4895969423194
7,12,314.4895969423213
7,13,350.191367412608
7,14,350.191367412608
7,15,350.191367412608
7,16,350.1913672695463
7,17,350.191367412608
7,18,350.191367412608
7,19,314.489596942321
7,20,314.4895969423218
7,21,297.8948929263156
7,22,295.3936946205438
7,23,295.3936953413263
7,24,297.4079943100994
8,1,255.6790807799441
8,2,297.4079939096448
8,3,297.4079943100995
8,4,297.4079943100995
8,5,295.3936954503249
8,6,283.1300005900711
8,7,297.8948929610322
8,8,321.1869235530796
8,9,321.1869235530797
8,10,321.1869234935934
8,11,314.4895969423194
8,12,314.4895969423213
8,13,350.191367412608
8,14,350.191367412608
8,15,350.191367412608
8,16,350.1913672695463
8,17,350.191367412608
8,18,350.191367412608
8,19,314.489596942321
8,20,314.4895969423218
8,21,297.8948929263156
8,22,295.3936946205438
8,23,295.3936953413263
8,24,297.4079943100994
9,1,255.679080779944
9,2,297.4079939096448
9,3,297.4079943100995
9,4,297.4079943100995
9,5,295.3936954503249
9,6,283.1300005900711
9,7,297.8948929610321
9,8,321.1869235530795
9,9,321.1869235530797
9,10,321.1869234935934
9,11,314.4895969423193
9,12,314.4895969423213
9,13,350.1913674126079
9,14,350.1913674126079
9,15,350.1913674126079
9,16,350.1913672695462
9,17,350.1913674126079
9,18,350.1913674126079
9,19,314.489596942321
9,20,314.4895969423218
9,21,297.8948929263155
9,22,295.3936946205437
9,23,295.3936953413263
9,24,297.4079943100994
10,1,255.679080779944
10,2,297.4079939096448
10,3,297.4079943100995
10,4,297.4079943100995
10,5,295.3936954503249
10,6,283.1300005900711
10,7,297.8948929610321
10,8,321.1869235530795
10,9,321.1869235530797
10,10,321.1869234935934
10,11,314.4895969423193
10,12,314.4895969423213
10,13,350.1913674126079
10,14,350.1913674126079
10,15,350.1913674126079
10,16,350.1913672695462
10,17,350.1913674126079
10,18,350.1913674126079
10,19,314.489596942321
10,20,314.4895969423218
10,21,297.8948929263155
10,22,295.3936946205437
10,23,295.3936953413263
10,24,297.4079943100994
11,1,255.6790807799441
11,2,297.4079939096449
11,3,297.4079943100995
11,4,297.4079943100996
11,5,295.3936954503249
11,6,283.1300005900711
11,7,297.8948929610321
11,8,321.1869235530796
11,9,321.1869235530798
11,10,321.1869234935934
11,11,314.4895969423194
11,12,314.4895969423214
11,13,350.191367412608
11,14,350.191367412608
11,15,350.191367412608
11,16,350.1913672695463
11,17,350.191367412608
11,18,350.191367412608
11,19,314.489596942321
11,20,314.4895969423218
11,21,297.8948929263156
11,22,295.3936946205438
11,23,295.3936953413263
11,24,297.4079943100995
12,1,255.6790807799441
12,2,297.4079939096449
12,3,297.4079943100995
12,4,297.4079943100996
12,5,295.3936954503249
12,6,283.1300005900711
12,7,297.8948929610322
12,8,321.1869235530796
12,9,321.1869235530798
12,10,321.1869234935934
12,11,314.4895969423194
12,12,314.4895969423214
12,13,350.191367412608
12,14,350.191367412608
12,15,350.191367412608
12,16,350.1913672695463
12,17,350.191367412608
12,18,350.191367412608
12,19,314.489596942321
12,20,314.4895969423218
12,21,297.8948929263156
12,22,295.3936946205438
12,23,295.3936953413263
12,24,297.4079943100995
13,1,255.6790807799441
13,2,297.4079939096449
13,3,297.4079943100995
13,4,297.4079943100996
13,5,295.3936954503249
13,6,283.1300005900711
13,7,297.8948929610322
13,8,321.1869235530796
13,9,321.1869235530798
13,10,321.1869234935934
13,11,314.4895969423194
13,12,314.4895969423214
13,13,350.191367412608
13,14,350.191367412608
13,15,350.191367412608
13,16,350.1913672695463
13,17,350.191367412608
13,18,350.191367412608
13,19,314.489596942321
13,20,314.4895969423218
13,21,297.8948929263156
13,22,295.3936946205438
13,23,295.3936953413263
13,24,297.4079943100995
14,1,255.6790807799441
14,2,297.4079939096448
14,3,297.4079943100995
14,4,297.4079943100995
14,5,295.3936954503249
14,6,283.1300005900711
14,7,297.8948929610321
14,8,321.1869235530795
14,9,321.1869235530797
14,10,321.1869234935934
14,11,314.4895969423194
14,12,314.4895969423213
14,13,350.191367412608
14,14,350.191367412608
14,15,350.191367412608
14,16,350.1913672695463
