index0,index1,phi.val
1,1,-0.01114206128133674
1,2,-0.1830512075383818
1,3,-0.1830512091038408
1,4,-0.1830512091038412
1,5,-0.1572268647477562
1,6,-7.978284409112342e-09
1,7,-0.03915579058403131
1,8,-0.1248323532446101
1,9,-0.1248323532446103
1,10,-0.1248323535109875
1,11,-0.03896919156820888
1,12,-0.0389691915682206
1,13,-0.1966988445224521
1,14,-0.1966988445224522
1,15,-0.1966988445224521
1,16,-0.1966988442795378
1,17,-0.1966988445224521
1,18,-0.1966988445224521
1,19,-0.03896919156821887
1,20,-0.03896919156822388
1,21,-0.03915578947368328
1,22,-0.1572268547491772
1,23,-0.1572268643468198
1,24,-0.18305120910384
2,1,-0.01114206128133674
2,2,-0.1830512075383818
2,3,-0.1830512091038408
2,4,-0.1830512091038412
2,5,-0.1572268647477562
2,6,-7.978284409112342e-09
2,7,-0.03915579058403131
2,8,-0.1248323532446101
2,9,-0.1248323532446103
2,10,-0.1248323535109875
2,11,-0.03896919156820888
2,12,-0.0389691915682206
2,13,-0.1966988445224521
2,14,-0.1966988445224522
2,15,-0.1966988445224521
2,16,-0.1966988442795378
2,17,-0.1966988445224521
2,18,-0.1966988445224521
2,19,-0.03896919156821887
2,20,-0.03896919156822388
2,21,-0.03915578947368328
2,22,-0.1572268547491772
2,23,-0.1572268643468198
2,24,-0.18305120910384
3,1,-0.01114206128133674
3,2,-0.1830512075383818
3,3,-0.1830512091038408
3,4,-0.1830512091038412
3,5,-0.1572268647477562
3,6,-7.978284409112342e-09
3,7,-0.03915579058403131
3,8,-0.1248323532446101
3,9,-0.1248323532446103
3,10,-0.1248323535109875
3,11,-0.03896919156820888
3,12,-0.0389691915682206
3,13,-0.1966988445224521
3,14,-0.1966988445224522
3,15,-0.1966988445224521
3,16,-0.1966988442795378
3,17,-0.1966988445224521
3,18,-0.1966988445224521
3,19,-0.03896919156821887
3,20,-0.03896919156822388
3,21,-0.03915578947368328
3,22,-0.1572268547491772
3,23,-0.1572268643468198
3,24,-0.18305120910384
4,1,-0.01114206128133674
4,2,-0.1830512075383818
4,3,-0.1830512091038408
4,4,-0.1830512091038412
4,5,-0.1572268647477562
4,6,-7.978284409112342e-09
4,7,-0.03915579058403131
4,8,-0.1248323532446101
4,9,-0.1248323532446103
4,10,-0.1248323535109875
4,11,-0.03896919156820888
4,12,-0.0389691915682206
4,13,-0.1966988445224521
4,14,-0.1966988445224522
4,15,-0.1966988445224521
4,16,-0.1966988442795378
4,17,-0.1966988445224521
4,18,-0.1966988445224521
4,19,-0.03896919156821887
4,20,-0.03896919156822388
4,21,-0.03915578947368328
4,22,-0.1572268547491772
4,23,-0.1572268643468198
4,24,-0.18305120910384
5,1,-0.01114206128133674
5,2,-0.1830512075383818
5,3,-0.1830512091038408
5,4,-0.1830512091038412
5,5,-0.1572268647477562
5,6,-7.978284409112342e-09
5,7,-0.03915579058403131
5,8,-0.1248323532446101
5,9,-0.1248323532446103
5,10,-0.1248323535109875
5,11,-0.03896919156820888
5,12,-0.0389691915682206
5,13,-0.1966988445224521
5,14,-0.1966988445224522
5,15,-0.1966988445224521
5,16,-0.1966988442795378
5,17,-0.1966988445224521
5,18,-0.1966988445224521
5,19,-0.03896919156821887
5,20,-0.03896919156822388
5,21,-0.03915578947368328
5,22,-0.1572268547491772
5,23,-0.1572268643468198
5,24,-0.18305120910384
