,psi.val
1,-0.01114206128133674
2,-0.1830512075383818
3,-0.1830512091038408
4,-0.1830512091038412
5,-0.1572268647477562
6,-7.978284409112342e-09
7,-0.03915579058403131
8,-0.1248323532446101
9,-0.1248323532446103
10,-0.1248323535109875
11,-0.03896919156820888
12,-0.0389691915682206
13,-0.1966988445224521
14,-0.1966988445224522
15,-0.1966988445224521
16,-0.1966988442795378
17,-0.1966988445224521
18,-0.1966988445224521
19,-0.03896919156821887
20,-0.03896919156822388
21,-0.03915578947368328
22,-0.1572268547491772
23,-0.1572268643468198
24,-0.18305120910384
