index0,index1,index2,rho_L.val
1,1,1,0.0
1,1,2,0.0
1,1,3,0.0
1,1,4,0.0
1,1,5,0.0
1,1,6,0.0
1,1,7,0.0
1,1,8,0.0
1,1,9,0.0
1,1,10,0.0
1,1,11,0.0
1,1,12,0.0
1,1,13,0.0
1,1,14,0.0
1,1,15,0.0
1,1,16,0.0
1,1,17,0.0
1,1,18,0.0
1,1,19,0.0
1,1,20,0.0
1,1,21,0.0
1,1,22,0.0
1,1,23,0.0
1,1,24,0.0
1,2,1,0.0
1,2,2,5.006307371728542
1,2,3,5.006307396870572
1,2,4,5.006307396870582
1,2,5,0.0
1,2,6,0.0
1,2,7,0.0
1,2,8,0.0
1,2,9,0.0
1,2,10,0.0
1,2,11,0.0
1,2,12,0.0
1,2,13,0.0
1,2,14,0.0
1,2,15,0.0
1,2,16,0.0
1,2,17,0.0
1,2,18,0.0
1,2,19,0.0
1,2,20,0.0
1,2,21,0.0
1,2,22,0.0
1,2,23,0.0
1,2,24,5.006307396870415
1,3,1,34.6
1,3,2,39.60630737172856
1,3,3,39.60630739687059
1,3,4,39.6063073968706
1,3,5,34.6
1,3,6,4.120001578709363
1,3,7,2.66376758872866e-07
1,3,8,0.0
1,3,9,0.0
1,3,10,1.319036186941958e-07
1,3,11,0.0
1,3,12,0.0
1,3,13,0.0
1,3,14,0.0
1,3,15,0.0
1,3,16,0.0
1,3,17,0.0
1,3,18,0.0
1,3,19,0.0
1,3,20,0.0
1,3,21,0.0
1,3,22,34.59999810715723
1,3,23,34.6
1,3,24,39.60630739687043
1,4,1,69.2
1,4,2,74.2063073717286
1,4,3,74.20630739687061
1,4,4,74.20630739687061
1,4,5,69.2
1,4,6,38.7200015787094
1,4,7,34.60000026637681
1,4,8,34.6
1,4,9,34.6
1,4,10,34.60000013190364
1,4,11,17.95456747741383
1,4,12,17.95456747741503
1,4,13,25.13318045926584
1,4,14,25.13318045926584
1,4,15,25.13318045926584
1,4,16,25.13318055036304
1,4,17,25.13318045926583
1,4,18,25.13318045926584
1,4,19,17.95456747741486
1,4,20,17.95456747741547
1,4,21,34.6
1,4,22,69.19999810715726
1,4,23,69.2
1,4,24,74.20630739687047
1,5,1,103.8
1,5,2,108.8063073717286
1,5,3,108.8063073968706
1,5,4,108.8063073968706
1,5,5,103.8
1,5,6,73.32000157870937
1,5,7,69.20000026637678
1,5,8,69.2
1,5,9,69.2
1,5,10,69.20000013190361
1,5,11,52.5545674774138
1,5,12,52.55456747741499
1,5,13,59.73318045926578
1,5,14,59.73318045926584
1,5,15,59.73318045926584
1,5,16,59.73318055036299
1,5,17,59.73318045926578
1,5,18,59.73318045926578
1,5,19,52.55456747741482
1,5,20,52.55456747741545
1,5,21,69.2
1,5,22,103.7999981071572
1,5,23,103.8
1,5,24,108.8063073968704
2,1,1,0.0
2,1,2,0.0
2,1,3,0.0
2,1,4,0.0
2,1,5,0.0
2,1,6,0.0
2,1,7,0.0
2,1,8,0.0
2,1,9,0.0
2,1,10,0.0
2,1,11,0.0
2,1,12,0.0
2,1,13,0.0
2,1,14,0.0
2,1,15,0.0
2,1,16,0.0
2,1,17,0.0
2,1,18,0.0
2,1,19,0.0
2,1,20,0.0
2,1,21,0.0
2,1,22,0.0
2,1,23,0.0
2,1,24,0.0
