index0,index1,index2,rho_U.val
1,1,1,34.6
1,1,2,29.59369262827145
1,1,3,29.59369260312942
1,1,4,29.59369260312941
1,1,5,34.6
1,1,6,65.07999842129064
1,1,7,69.19999973362323
1,1,8,69.2
1,1,9,69.2
1,1,10,69.1999998680964
1,1,11,85.84543252258621
1,1,12,85.84543252258501
1,1,13,78.66681954073422
1,1,14,78.66681954073417
1,1,15,78.66681954073417
1,1,16,78.66681944963702
1,1,17,78.66681954073422
1,1,18,78.66681954073422
1,1,19,85.84543252258518
1,1,20,85.84543252258456
1,1,21,69.2
1,1,22,34.60000189284278
1,1,23,34.6
1,1,24,29.59369260312958
1,2,1,0.0
1,2,2,0.0
1,2,3,0.0
1,2,4,0.0
1,2,5,0.0
1,2,6,30.47999842129066
1,2,7,34.59999973362326
1,2,8,34.6
1,2,9,34.6
1,2,10,34.5999998680964
1,2,11,51.24543252258621
1,2,12,51.24543252258502
1,2,13,44.06681954073423
1,2,14,44.06681954073417
1,2,15,44.06681954073417
1,2,16,44.06681944963702
1,2,17,44.06681954073423
1,2,18,44.06681954073423
1,2,19,51.24543252258519
1,2,20,51.24543252258458
1,2,21,34.6
1,2,22,1.892842782069692e-06
1,2,23,0.0
1,2,24,0.0
1,3,1,0.0
1,3,2,0.0
1,3,3,0.0
1,3,4,0.0
1,3,5,0.0
1,3,6,0.0
1,3,7,0.0
1,3,8,0.0
1,3,9,0.0
1,3,10,0.0
1,3,11,16.64543252258617
1,3,12,16.64543252258498
1,3,13,9.46681954073418
1,3,14,9.466819540734178
1,3,15,9.466819540734178
1,3,16,9.466819449636988
1,3,17,9.466819540734193
1,3,18,9.46681954073418
1,3,19,16.64543252258514
1,3,20,16.64543252258456
1,3,21,0.0
1,3,22,0.0
1,3,23,0.0
1,3,24,0.0
1,4,1,0.0
1,4,2,0.0
1,4,3,0.0
1,4,4,0.0
1,4,5,0.0
1,4,6,0.0
1,4,7,0.0
1,4,8,0.0
1,4,9,0.0
1,4,10,0.0
1,4,11,0.0
1,4,12,0.0
1,4,13,0.0
1,4,14,0.0
1,4,15,0.0
1,4,16,0.0
1,4,17,0.0
1,4,18,0.0
1,4,19,0.0
1,4,20,0.0
1,4,21,0.0
1,4,22,0.0
1,4,23,0.0
1,4,24,0.0
1,5,1,0.0
1,5,2,0.0
1,5,3,0.0
1,5,4,0.0
1,5,5,0.0
1,5,6,0.0
1,5,7,0.0
1,5,8,0.0
1,5,9,0.0
1,5,10,0.0
1,5,11,0.0
1,5,12,0.0
1,5,13,0.0
1,5,14,0.0
1,5,15,0.0
1,5,16,0.0
1,5,17,0.0
1,5,18,0.0
1,5,19,0.0
1,5,20,0.0
1,5,21,0.0
1,5,22,0.0
1,5,23,0.0
1,5,24,0.0
2,1,1,95.45042618384394
2,1,2,99.5999999414981
2,1,3,99.6
2,1,4,99.6
2,1,5,103.2309028164655
2,1,6,125.3369988460533
2,1,7,131.5424371392971
2,1,8,136.1055711338079
2,1,9,136.1055711338079
2,1,10,136.1055710161277
2,1,11,148.177931665509
2,1,12,148.1779316655084
2,1,13,149.4
2,1,14,149.4
2,1,15,149.4
2,1,16,149.3999999219646
2,1,17,149.4
2,1,18,149.4
2,1,19,148.1779316655084
2,1,20,148.1779316655081
2,1,21,131.5424373473685
2,1,22,103.2309041752644
2,1,23,103.2309027951313
2,1,24,99.6
2,2,1,45.65042618384393
2,2,2,49.79999994149809
2,2,3,49.8
2,2,4,49.8
2,2,5,53.4309028164655
2,2,6,75.53699884605328
2,2,7,81.74243713929707
2,2,8,86.30557113380786
2,2,9,86.30557113380792
2,2,10,86.30557101612771
2,2,11,98.37793166550898
2,2,12,98.37793166550841
2,2,13,99.6
2,2,14,99.6
2,2,15,99.6
2,2,16,99.59999992196464
2,2,17,99.6
2,2,18,99.6
2,2,19,98.37793166550841
2,2,20,98.37793166550813
2,2,21,81.74243734736848
2,2,22,53.43090417526435
2,2,23,53.43090279513126
2,2,24,49.8
2,3,1,0.0
2,3,2,0.0
2,3,3,0.0
2,3,4,0.0
2,3,5,3.63090281646555
2,3,6,25.73699884605331
2,3,7,31.94243713929709
2,3,8,36.5055711338079
2,3,9,36.50557113380796
2,3,10,36.50557101612774
2,3,11,48.57793166550903
2,3,12,48.57793166550846
