index0,index1,varphi.val
1,1,252.65
1,2,247.6436926282714
1,3,247.6436926031294
1,4,247.6436926031294
1,5,252.65
1,6,283.1299984212906
1,7,287.2499997336232
1,8,287.25
1,9,287.25
1,10,287.2499998680964
1,11,303.8954325225862
1,12,303.895432522585
1,13,296.7168195407342
1,14,296.7168195407341
1,15,296.7168195407341
1,16,296.716819449637
1,17,296.7168195407342
1,18,296.7168195407342
1,19,303.8954325225852
1,20,303.8954325225845
1,21,287.25
1,22,252.6500018928428
1,23,252.65
1,24,247.6436926031296
2,1,253.243426183844
2,2,257.3929999414981
2,3,257.393
2,4,257.393
2,5,261.0239028164655
2,6,283.1299988460533
2,7,289.3354371392971
2,8,293.8985711338079
2,9,293.8985711338079
2,10,293.8985710161277
2,11,305.970931665509
2,12,305.9709316655084
2,13,307.193
2,14,307.193
2,15,307.193
2,16,307.1929999219647
2,17,307.193
2,18,307.193
2,19,305.9709316655084
2,20,305.9709316655081
2,21,289.3354373473685
2,22,261.0239041752644
2,23,261.0239027951313
2,24,257.3930000000001
3,1,255.9454
3,2,267.3253584630134
3,3,267.3253586059744
3,4,267.3253586059744
3,5,269.5550324976787
3,6,283.1299992788711
3,7,291.4600303364934
3,8,300.6719746208604
3,9,300.6719746208606
3,10,300.6719745175301
3,11,308.0854
3,12,308.0854
3,13,317.8658793037882
3,14,317.8658793037882
3,15,317.8658793037882
3,16,317.8658792023369
3,17,317.8658793037882
3,18,317.8658793037882
3,19,308.0854
3,20,308.0854
3,21,291.4600304842106
3,22,269.5550333132782
3,23,269.5550324545897
3,24,267.3253586059744
4,1,255.2896000000001
4,2,282.4234220605576
4,3,282.4234223328591
4,4,282.4234223328591
4,5,282.5231043020736
4,6,283.1299999368206
4,7,294.6895999439266
4,8,310.9681471164758
4,9,310.968147116476
4,10,310.9681470351516
4,11,311.2995789205458
4,12,311.2995789205468
4,13,334.0896
4,14,334.0896
4,15,334.0896
4,16,334.0895998752248
4,17,334.0896
4,18,334.0896
4,19,311.2995789205467
4,20,311.299578920547
4,21,294.6896
4,22,282.5231042919316
4,23,282.523104225903
4,24,282.4234223328591
5,1,254.81
5,2,283.1299997217914
5,3,283.13
5,4,283.13
5,5,283.13
5,6,283.1299999676144
5,7,294.8407412959237
5,8,311.45
5,9,311.45
5,10,311.4499999201039
5,11,311.45
5,12,311.45
5,13,334.8488575398567
5,14,334.8488575398567
5,15,334.8488575398567
5,16,334.8488574144487
5,17,334.8488575398567
5,18,334.8488575398567
5,19,311.45
5,20,311.45
5,21,294.8407413473684
5,22,283.1299999517619
5,23,283.1299999222325
5,24,283.13
