Resultados para a variável: Pw
Pw : Size=576, Index=i*t
    Key      : Lower : Value               : Upper               : Fixed : Stale : Domain
      (1, 1) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (1, 2) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (1, 3) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (1, 4) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (1, 5) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (1, 6) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (1, 7) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (1, 8) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (1, 9) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (1, 10) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (1, 11) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (1, 12) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (1, 13) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (1, 14) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (1, 15) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (1, 16) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (1, 17) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (1, 18) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (1, 19) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (1, 20) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (1, 21) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (1, 22) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (1, 23) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (1, 24) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (2, 1) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (2, 2) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (2, 3) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (2, 4) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (2, 5) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (2, 6) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (2, 7) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (2, 8) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (2, 9) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (2, 10) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (2, 11) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (2, 12) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (2, 13) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (2, 14) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (2, 15) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (2, 16) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (2, 17) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (2, 18) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (2, 19) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (2, 20) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (2, 21) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (2, 22) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (2, 23) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (2, 24) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (3, 1) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (3, 2) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (3, 3) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (3, 4) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (3, 5) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (3, 6) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (3, 7) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (3, 8) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (3, 9) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (3, 10) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (3, 11) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (3, 12) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (3, 13) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (3, 14) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (3, 15) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (3, 16) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (3, 17) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (3, 18) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (3, 19) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (3, 20) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (3, 21) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (3, 22) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (3, 23) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (3, 24) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (4, 1) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (4, 2) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (4, 3) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (4, 4) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (4, 5) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (4, 6) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (4, 7) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (4, 8) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (4, 9) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (4, 10) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (4, 11) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (4, 12) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (4, 13) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (4, 14) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (4, 15) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (4, 16) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (4, 17) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (4, 18) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (4, 19) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (4, 20) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (4, 21) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (4, 22) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (4, 23) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (4, 24) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (5, 1) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (5, 2) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (5, 3) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (5, 4) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (5, 5) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (5, 6) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (5, 7) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (5, 8) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
      (5, 9) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (5, 10) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (5, 11) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (5, 12) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (5, 13) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (5, 14) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (5, 15) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (5, 16) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (5, 17) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (5, 18) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (5, 19) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (5, 20) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (5, 21) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
     (5, 22) :     0 :                 0.0 :                 0.0 : False : False : NonNegativeReals
