Resultados para a variável: Qg
Qg : Size=240, Index=GB*t
    Key      : Lower : Value                 : Upper : Fixed : Stale : Domain
      (1, 1) :     0 :    0.1505924938083445 :  1.92 : False : False : NonNegativeReals
      (1, 2) :     0 :   0.14170699180796334 :  1.92 : False : False : NonNegativeReals
      (1, 3) :     0 :   0.13487521432653402 :  1.92 : False : False : NonNegativeReals
      (1, 4) :     0 :   0.13194132215660134 :  1.92 : False : False : NonNegativeReals
      (1, 5) :     0 :   0.12955229567536675 :  1.92 : False : False : NonNegativeReals
      (1, 6) :     0 :   0.13156410744903801 :  1.92 : False : False : NonNegativeReals
      (1, 7) :     0 :    0.1378929319870452 :  1.92 : False : False : NonNegativeReals
      (1, 8) :     0 :     0.143383501619356 :  1.92 : False : False : NonNegativeReals
      (1, 9) :     0 :   0.15532863402552868 :  1.92 : False : False : NonNegativeReals
     (1, 10) :     0 :   0.17314155077157556 :  1.92 : False : False : NonNegativeReals
     (1, 11) :     0 :   0.18458373023433045 :  1.92 : False : False : NonNegativeReals
     (1, 12) :     0 :   0.18760144789483701 :  1.92 : False : False : NonNegativeReals
     (1, 13) :     0 :   0.19154124595160987 :  1.92 : False : False : NonNegativeReals
     (1, 14) :     0 :      0.18353591160221 :  1.92 : False : False : NonNegativeReals
     (1, 15) :     0 :   0.17963802629072212 :  1.92 : False : False : NonNegativeReals
     (1, 16) :     0 :   0.18026671746999434 :  1.92 : False : False : NonNegativeReals
     (1, 17) :     0 :    0.1922956753667365 :  1.92 : False : False : NonNegativeReals
     (1, 18) :     0 :                  0.22 :  1.92 : False : False : NonNegativeReals
     (1, 19) :     0 :   0.21639550390550574 :  1.92 : False : False : NonNegativeReals
     (1, 20) :     0 :   0.20600114307487133 :  1.92 : False : False : NonNegativeReals
     (1, 21) :     0 :   0.19527148028195854 :  1.92 : False : False : NonNegativeReals
     (1, 22) :     0 :   0.17804534196989913 :  1.92 : False : False : NonNegativeReals
     (1, 23) :     0 :   0.16408839779005518 :  1.92 : False : False : NonNegativeReals
     (1, 24) :     0 :   0.16136406934654224 :  1.92 : False : False : NonNegativeReals
      (2, 1) :     0 :   0.12495858433101997 :  1.92 : False : False : NonNegativeReals
      (2, 2) :     0 :   0.12433436543796622 :  1.92 : False : False : NonNegativeReals
      (2, 3) :     0 :    0.1237966858427247 :  1.92 : False : False : NonNegativeReals
      (2, 4) :     0 :   0.12355599218967225 :  1.92 : False : False : NonNegativeReals
      (2, 5) :     0 :    0.1233242318910077 :  1.92 : False : False : NonNegativeReals
      (2, 6) :     0 :   0.12350932707173445 :  1.92 : False : False : NonNegativeReals
      (2, 7) :     0 :   0.12407043217050369 :  1.92 : False : False : NonNegativeReals
