Resultados para a variável: Va
Va : Size=576, Index=i*t
    Key      : Lower               : Value                  : Upper              : Fixed : Stale : Domain
      (1, 1) : -1.5707963267948966 :    0.13433500524409184 : 1.5707963267948966 : False : False :  Reals
      (1, 2) : -1.5707963267948966 :    0.12407087584024258 : 1.5707963267948966 : False : False :  Reals
      (1, 3) : -1.5707963267948966 :    0.11615794669573942 : 1.5707963267948966 : False : False :  Reals
      (1, 4) : -1.5707963267948966 :    0.11275198407284871 : 1.5707963267948966 : False : False :  Reals
      (1, 5) : -1.5707963267948966 :    0.10995715608980282 : 1.5707963267948966 : False : False :  Reals
      (1, 6) : -1.5707963267948966 :    0.11230683602223722 : 1.5707963267948966 : False : False :  Reals
      (1, 7) : -1.5707963267948966 :    0.11966477482284332 : 1.5707963267948966 : False : False :  Reals
      (1, 8) : -1.5707963267948966 :    0.12600250908156796 : 1.5707963267948966 : False : False :  Reals
      (1, 9) : -1.5707963267948966 :    0.13975782108632195 : 1.5707963267948966 : False : False :  Reals
     (1, 10) : -1.5707963267948966 :     0.1605989327911832 : 1.5707963267948966 : False : False :  Reals
     (1, 11) : -1.5707963267948966 :    0.17403952678931875 : 1.5707963267948966 : False : False :  Reals
     (1, 12) : -1.5707963267948966 :      0.177631437621147 : 1.5707963267948966 : False : False :  Reals
     (1, 13) : -1.5707963267948966 :     0.1824200236916924 : 1.5707963267948966 : False : False :  Reals
     (1, 14) : -1.5707963267948966 :    0.17279372882509395 : 1.5707963267948966 : False : False :  Reals
     (1, 15) : -1.5707963267948966 :    0.16820557637705894 : 1.5707963267948966 : False : False :  Reals
     (1, 16) : -1.5707963267948966 :    0.16894477826016308 : 1.5707963267948966 : False : False :  Reals
     (1, 17) : -1.5707963267948966 :      0.183315865575275 : 1.5707963267948966 : False : False :  Reals
     (1, 18) : -1.5707963267948966 :    0.21128184951884238 : 1.5707963267948966 : False : False :  Reals
     (1, 19) : -1.5707963267948966 :     0.2099523663961631 : 1.5707963267948966 : False : False :  Reals
     (1, 20) : -1.5707963267948966 :    0.20018742969068876 : 1.5707963267948966 : False : False :  Reals
     (1, 21) : -1.5707963267948966 :    0.18694737509013265 : 1.5707963267948966 : False : False :  Reals
     (1, 22) : -1.5707963267948966 :     0.1663059818905817 : 1.5707963267948966 : False : False :  Reals
     (1, 23) : -1.5707963267948966 :    0.15003125082185298 : 1.5707963267948966 : False : False :  Reals
     (1, 24) : -1.5707963267948966 :    0.14682972131693822 : 1.5707963267948966 : False : False :  Reals
      (2, 1) : -1.5707963267948966 :    0.13769977435678546 : 1.5707963267948966 : False : False :  Reals
      (2, 2) : -1.5707963267948966 :    0.12620348611326296 : 1.5707963267948966 : False : False :  Reals
      (2, 3) : -1.5707963267948966 :    0.11735272836033822 : 1.5707963267948966 : False : False :  Reals
      (2, 4) : -1.5707963267948966 :    0.11354563408688724 : 1.5707963267948966 : False : False :  Reals
      (2, 5) : -1.5707963267948966 :    0.11043008717845189 : 1.5707963267948966 : False : False :  Reals
      (2, 6) : -1.5707963267948966 :    0.11305151285755237 : 1.5707963267948966 : False : False :  Reals
