Resultados para a variável: Pg
Pg : Size=240, Index=GB*t
    Key      : Lower  : Value              : Upper : Fixed : Stale : Domain
      (1, 1) :  0.304 : 0.5130364152965028 :  1.52 : False : False : NonNegativeReals
      (1, 2) :  0.304 :              0.304 :  1.52 : False : False : NonNegativeReals
      (1, 3) :  0.304 :              0.304 :  1.52 : False : False : NonNegativeReals
      (1, 4) :  0.304 :              0.304 :  1.52 : False : False : NonNegativeReals
      (1, 5) :  0.304 :              0.304 :  1.52 : False : False : NonNegativeReals
      (1, 6) :  0.304 :              0.304 :  1.52 : False : False : NonNegativeReals
      (1, 7) :  0.304 :              0.304 :  1.52 : False : False : NonNegativeReals
      (1, 8) :  0.304 :              0.304 :  1.52 : False : False : NonNegativeReals
      (1, 9) :  0.304 :              0.304 :  1.52 : False : False : NonNegativeReals
     (1, 10) :  0.304 : 0.5140000008869585 :  1.52 : False : False : NonNegativeReals
     (1, 11) :  0.304 : 0.5265884806789481 :  1.52 : False : False : NonNegativeReals
     (1, 12) :  0.304 : 0.7365884904915502 :  1.52 : False : False : NonNegativeReals
     (1, 13) :  0.304 : 0.8899999851271994 :  1.52 : False : False : NonNegativeReals
     (1, 14) :  0.304 : 0.6799999753601323 :  1.52 : False : False : NonNegativeReals
     (1, 15) :  0.304 :  0.889999985266044 :  1.52 : False : False : NonNegativeReals
     (1, 16) :  0.304 :  1.099999995203332 :  1.52 : False : False : NonNegativeReals
     (1, 17) :  0.304 : 1.3100000051786163 :  1.52 : False : False : NonNegativeReals
     (1, 18) :  0.304 :               1.52 :  1.52 : False : False : NonNegativeReals
     (1, 19) :  0.304 :               1.52 :  1.52 : False : False : NonNegativeReals
     (1, 20) :  0.304 : 1.3100000052206173 :  1.52 : False : False : NonNegativeReals
     (1, 21) :  0.304 :  1.099999995267596 :  1.52 : False : False : NonNegativeReals
     (1, 22) :  0.304 : 0.8899999852899335 :  1.52 : False : False : NonNegativeReals
     (1, 23) :  0.304 : 0.6799999753147773 :  1.52 : False : False : NonNegativeReals
     (1, 24) :  0.304 : 0.4699999653818008 :  1.52 : False : False : NonNegativeReals
      (2, 1) :  0.304 : 0.5130365618834507 :  1.52 : False : False : NonNegativeReals
      (2, 2) :  0.304 :              0.304 :  1.52 : False : False : NonNegativeReals
      (2, 3) :  0.304 :              0.304 :  1.52 : False : False : NonNegativeReals
      (2, 4) :  0.304 :              0.304 :  1.52 : False : False : NonNegativeReals
      (2, 5) :  0.304 :              0.304 :  1.52 : False : False : NonNegativeReals
      (2, 6) :  0.304 :              0.304 :  1.52 : False : False : NonNegativeReals
      (2, 7) :  0.304 :              0.304 :  1.52 : False : False : NonNegativeReals
      (2, 8) :  0.304 :              0.304 :  1.52 : False : False : NonNegativeReals
      (2, 9) :  0.304 :              0.304 :  1.52 : False : False : NonNegativeReals
     (2, 10) :  0.304 : 0.5140000008868041 :  1.52 : False : False : NonNegativeReals
     (2, 11) :  0.304 : 0.5273261850129416 :  1.52 : False : False : NonNegativeReals
     (2, 12) :  0.304 : 0.7373261948255456 :  1.52 : False : False : NonNegativeReals
     (2, 13) :  0.304 : 0.8899999851271843 :  1.52 : False : False : NonNegativeReals
     (2, 14) :  0.304 : 0.6799999753601279 :  1.52 : False : False : NonNegativeReals
     (2, 15) :  0.304 : 0.8899999852660418 :  1.52 : False : False : NonNegativeReals
     (2, 16) :  0.304 :  1.099999995203331 :  1.52 : False : False : NonNegativeReals
     (2, 17) :  0.304 : 1.3100000051786156 :  1.52 : False : False : NonNegativeReals
     (2, 18) :  0.304 :               1.52 :  1.52 : False : False : NonNegativeReals
     (2, 19) :  0.304 :               1.52 :  1.52 : False : False : NonNegativeReals
     (2, 20) :  0.304 : 1.3100000052206047 :  1.52 : False : False : NonNegativeReals
     (2, 21) :  0.304 : 1.0999999952675827 :  1.52 : False : False : NonNegativeReals
     (2, 22) :  0.304 : 0.8899999852899201 :  1.52 : False : False : NonNegativeReals
     (2, 23) :  0.304 : 0.6799999753147639 :  1.52 : False : False : NonNegativeReals
     (2, 24) :  0.304 :  0.469999965381787 :  1.52 : False : False : NonNegativeReals
