Resultados para a variável: Qg
Qg : Size=240, Index=GB*t
    Key      : Lower : Value                 : Upper : Fixed : Stale : Domain
      (1, 1) :  -0.5 :    0.5699411052172313 :  1.92 : False : False :  Reals
      (1, 2) :  -0.5 :    0.5556855364768861 :  1.92 : False : False :  Reals
      (1, 3) :  -0.5 :    0.5006176426847917 :  1.92 : False : False :  Reals
      (1, 4) :  -0.5 :   0.42542060844456603 :  1.92 : False : False :  Reals
      (1, 5) :  -0.5 :     0.360095613721354 :  1.92 : False : False :  Reals
      (1, 6) :  -0.5 :   0.24737689923180187 :  1.92 : False : False :  Reals
      (1, 7) :  -0.5 :   0.22734470213033312 :  1.92 : False : False :  Reals
      (1, 8) :  -0.5 :    0.3358758498100121 :  1.92 : False : False :  Reals
      (1, 9) :  -0.5 :    0.4746600852232905 :  1.92 : False : False :  Reals
     (1, 10) :  -0.5 :     0.525312983048508 :  1.92 : False : False :  Reals
     (1, 11) :  -0.5 :     0.471615869939346 :  1.92 : False : False :  Reals
     (1, 12) :  -0.5 :   0.48639437512995015 :  1.92 : False : False :  Reals
     (1, 13) :  -0.5 :   0.35283918001369197 :  1.92 : False : False :  Reals
     (1, 14) :  -0.5 :   0.23537161208476348 :  1.92 : False : False :  Reals
     (1, 15) :  -0.5 :   0.09305641364733043 :  1.92 : False : False :  Reals
     (1, 16) :  -0.5 :  -0.05891404735048682 :  1.92 : False : False :  Reals
     (1, 17) :  -0.5 :    0.4221847784645121 :  1.92 : False : False :  Reals
     (1, 18) :  -0.5 :    0.5485487462429313 :  1.92 : False : False :  Reals
     (1, 19) :  -0.5 :    0.5288446877447656 :  1.92 : False : False :  Reals
     (1, 20) :  -0.5 :    0.5649049849104065 :  1.92 : False : False :  Reals
     (1, 21) :  -0.5 :    0.5413396049514687 :  1.92 : False : False :  Reals
     (1, 22) :  -0.5 :   0.48074667259136866 :  1.92 : False : False :  Reals
     (1, 23) :  -0.5 :    0.3171589142084142 :  1.92 : False : False :  Reals
     (1, 24) :  -0.5 :   0.18914674541162524 :  1.92 : False : False :  Reals
      (2, 1) :  -0.5 :    0.4962200485306286 :  1.92 : False : False :  Reals
      (2, 2) :  -0.5 :    0.4817314355648163 :  1.92 : False : False :  Reals
      (2, 3) :  -0.5 :   0.43129653389709904 :  1.92 : False : False :  Reals
      (2, 4) :  -0.5 :   0.36216655951876553 :  1.92 : False : False :  Reals
      (2, 5) :  -0.5 :    0.3022826158666959 :  1.92 : False : False :  Reals
      (2, 6) :  -0.5 :    0.1990239587208017 :  1.92 : False : False :  Reals
      (2, 7) :  -0.5 :    0.1803418537319768 :  1.92 : False : False :  Reals
      (2, 8) :  -0.5 :   0.27907568893766005 :  1.92 : False : False :  Reals
      (2, 9) :  -0.5 :    0.4060964854041707 :  1.92 : False : False :  Reals
     (2, 10) :  -0.5 :   0.45343118822204237 :  1.92 : False : False :  Reals
     (2, 11) :  -0.5 :      0.40262979427285 :  1.92 : False : False :  Reals
     (2, 12) :  -0.5 :    0.4179549223965534 :  1.92 : False : False :  Reals
