Resultados para a variável: V
V : Size=576, Index=i*t
    Key      : Lower : Value              : Upper : Fixed : Stale : Domain
      (1, 1) :   0.9 : 1.0104162575670803 :   1.1 : False : False :  Reals
      (1, 2) :   0.9 : 1.0072256102890265 :   1.1 : False : False :  Reals
      (1, 3) :   0.9 : 1.0057123803835306 :   1.1 : False : False :  Reals
      (1, 4) :   0.9 : 1.0012479762717086 :   1.1 : False : False :  Reals
      (1, 5) :   0.9 : 0.9971009355219891 :   1.1 : False : False :  Reals
      (1, 6) :   0.9 : 0.9861010131815531 :   1.1 : False : False :  Reals
      (1, 7) :   0.9 : 0.9805183073421371 :   1.1 : False : False :  Reals
      (1, 8) :   0.9 : 0.9890550672618137 :   1.1 : False : False :  Reals
      (1, 9) :   0.9 : 0.9960164533725001 :   1.1 : False : False :  Reals
     (1, 10) :   0.9 : 0.9986407876846065 :   1.1 : False : False :  Reals
     (1, 11) :   0.9 : 0.9885555438445242 :   1.1 : False : False :  Reals
     (1, 12) :   0.9 : 0.9951465163567532 :   1.1 : False : False :  Reals
     (1, 13) :   0.9 : 0.9830007774870896 :   1.1 : False : False :  Reals
     (1, 14) :   0.9 : 0.9641514667544973 :   1.1 : False : False :  Reals
     (1, 15) :   0.9 : 0.9532137263206641 :   1.1 : False : False :  Reals
     (1, 16) :   0.9 :  0.931320335243689 :   1.1 : False : False :  Reals
     (1, 17) :   0.9 : 1.0012284958815878 :   1.1 : False : False :  Reals
     (1, 18) :   0.9 : 1.0054963009474323 :   1.1 : False : False :  Reals
     (1, 19) :   0.9 : 1.0052056700551826 :   1.1 : False : False :  Reals
     (1, 20) :   0.9 : 1.0082774806481487 :   1.1 : False : False :  Reals
     (1, 21) :   0.9 : 1.0059500871814795 :   1.1 : False : False :  Reals
     (1, 22) :   0.9 :  1.003058145049569 :   1.1 : False : False :  Reals
     (1, 23) :   0.9 : 0.9882362724156135 :   1.1 : False : False :  Reals
     (1, 24) :   0.9 : 0.9659035675169947 :   1.1 : False : False :  Reals
      (2, 1) :   0.9 : 1.0093009223961087 :   1.1 : False : False :  Reals
      (2, 2) :   0.9 :  1.006133051511969 :   1.1 : False : False :  Reals
      (2, 3) :   0.9 : 1.0046066765774042 :   1.1 : False : False :  Reals
      (2, 4) :   0.9 : 1.0001537684590507 :   1.1 : False : False :  Reals
      (2, 5) :   0.9 : 0.9960267065650704 :   1.1 : False : False :  Reals
      (2, 6) :   0.9 : 0.9850820930613864 :   1.1 : False : False :  Reals
      (2, 7) :   0.9 : 0.9795158776410268 :   1.1 : False : False :  Reals
      (2, 8) :   0.9 :  0.988019956627806 :   1.1 : False : False :  Reals
      (2, 9) :   0.9 : 0.9949650462495091 :   1.1 : False : False :  Reals
     (2, 10) :   0.9 : 0.9975821698559308 :   1.1 : False : False :  Reals
     (2, 11) :   0.9 : 0.9875271279599892 :   1.1 : False : False :  Reals
     (2, 12) :   0.9 : 0.9940803632710546 :   1.1 : False : False :  Reals
     (2, 13) :   0.9 : 0.9819401739893842 :   1.1 : False : False :  Reals
     (2, 14) :   0.9 : 0.9631399244905345 :   1.1 : False : False :  Reals
     (2, 15) :   0.9 : 0.9522085813146633 :   1.1 : False : False :  Reals
     (2, 16) :   0.9 : 0.9303669456662926 :   1.1 : False : False :  Reals
