Resultados para a variável: Va
Va : Size=576, Index=i*t
    Key      : Lower               : Value                 : Upper              : Fixed : Stale : Domain
      (1, 1) : -1.5707963267948966 :  -0.20920345882876662 : 1.5707963267948966 : False : False :  Reals
      (1, 2) : -1.5707963267948966 :  -0.22319593719941508 : 1.5707963267948966 : False : False :  Reals
      (1, 3) : -1.5707963267948966 :  -0.21161922187307203 : 1.5707963267948966 : False : False :  Reals
      (1, 4) : -1.5707963267948966 :   -0.2022614765364505 : 1.5707963267948966 : False : False :  Reals
      (1, 5) : -1.5707963267948966 :  -0.19485268486356508 : 1.5707963267948966 : False : False :  Reals
      (1, 6) : -1.5707963267948966 :   -0.1900672435157436 : 1.5707963267948966 : False : False :  Reals
      (1, 7) : -1.5707963267948966 :  -0.19658603815681927 : 1.5707963267948966 : False : False :  Reals
      (1, 8) : -1.5707963267948966 :  -0.20970779956999527 : 1.5707963267948966 : False : False :  Reals
      (1, 9) : -1.5707963267948966 :  -0.23475470582230828 : 1.5707963267948966 : False : False :  Reals
     (1, 10) : -1.5707963267948966 :  -0.23211956826384791 : 1.5707963267948966 : False : False :  Reals
     (1, 11) : -1.5707963267948966 :  -0.24278787324541476 : 1.5707963267948966 : False : False :  Reals
     (1, 12) : -1.5707963267948966 :  -0.21885205413781256 : 1.5707963267948966 : False : False :  Reals
     (1, 13) : -1.5707963267948966 :  -0.19270542323410422 : 1.5707963267948966 : False : False :  Reals
     (1, 14) : -1.5707963267948966 :  -0.20599429239324535 : 1.5707963267948966 : False : False :  Reals
     (1, 15) : -1.5707963267948966 :   -0.1637349181682354 : 1.5707963267948966 : False : False :  Reals
     (1, 16) : -1.5707963267948966 :  -0.13047937788552527 : 1.5707963267948966 : False : False :  Reals
     (1, 17) : -1.5707963267948966 :  -0.14263706748298743 : 1.5707963267948966 : False : False :  Reals
     (1, 18) : -1.5707963267948966 :   -0.1565680534827884 : 1.5707963267948966 : False : False :  Reals
     (1, 19) : -1.5707963267948966 :   -0.1487117805076952 : 1.5707963267948966 : False : False :  Reals
     (1, 20) : -1.5707963267948966 :  -0.16960578593457068 : 1.5707963267948966 : False : False :  Reals
     (1, 21) : -1.5707963267948966 :  -0.18223439089890686 : 1.5707963267948966 : False : False :  Reals
     (1, 22) : -1.5707963267948966 :  -0.18304741027283886 : 1.5707963267948966 : False : False :  Reals
     (1, 23) : -1.5707963267948966 :  -0.18307912587488404 : 1.5707963267948966 : False : False :  Reals
     (1, 24) : -1.5707963267948966 :  -0.20179094317374627 : 1.5707963267948966 : False : False :  Reals
      (2, 1) : -1.5707963267948966 :  -0.21165517934229572 : 1.5707963267948966 : False : False :  Reals
      (2, 2) : -1.5707963267948966 :   -0.2257401927226379 : 1.5707963267948966 : False : False :  Reals
      (2, 3) : -1.5707963267948966 :   -0.2138719495482679 : 1.5707963267948966 : False : False :  Reals
      (2, 4) : -1.5707963267948966 :  -0.20422204930656068 : 1.5707963267948966 : False : False :  Reals
      (2, 5) : -1.5707963267948966 :  -0.19659211085702938 : 1.5707963267948966 : False : False :  Reals
      (2, 6) : -1.5707963267948966 :  -0.19161858327158568 : 1.5707963267948966 : False : False :  Reals
      (2, 7) : -1.5707963267948966 :  -0.19826765657081655 : 1.5707963267948966 : False : False :  Reals
      (2, 8) : -1.5707963267948966 :  -0.21165965374989842 : 1.5707963267948966 : False : False :  Reals
      (2, 9) : -1.5707963267948966 :   -0.2371573638107819 : 1.5707963267948966 : False : False :  Reals
     (2, 10) : -1.5707963267948966 :  -0.23466219054968113 : 1.5707963267948966 : False : False :  Reals
     (2, 11) : -1.5707963267948966 :  -0.24538688606985892 : 1.5707963267948966 : False : False :  Reals
     (2, 12) : -1.5707963267948966 :  -0.22124326001516417 : 1.5707963267948966 : False : False :  Reals
     (2, 13) : -1.5707963267948966 :  -0.19488262078140742 : 1.5707963267948966 : False : False :  Reals
     (2, 14) : -1.5707963267948966 :   -0.2082657104995578 : 1.5707963267948966 : False : False :  Reals
     (2, 15) : -1.5707963267948966 :   -0.1655240961634632 : 1.5707963267948966 : False : False :  Reals
     (2, 16) : -1.5707963267948966 :  -0.13150784730876885 : 1.5707963267948966 : False : False :  Reals
     (2, 17) : -1.5707963267948966 :   -0.1437745738601828 : 1.5707963267948966 : False : False :  Reals
     (2, 18) : -1.5707963267948966 :  -0.15792793001156172 : 1.5707963267948966 : False : False :  Reals
     (2, 19) : -1.5707963267948966 :   -0.1499800131006695 : 1.5707963267948966 : False : False :  Reals
     (2, 20) : -1.5707963267948966 :  -0.17126658311053294 : 1.5707963267948966 : False : False :  Reals
     (2, 21) : -1.5707963267948966 :  -0.18420061051149805 : 1.5707963267948966 : False : False :  Reals
     (2, 22) : -1.5707963267948966 :    -0.185160105794475 : 1.5707963267948966 : False : False :  Reals
     (2, 23) : -1.5707963267948966 :  -0.18492192167928062 : 1.5707963267948966 : False : False :  Reals
     (2, 24) : -1.5707963267948966 :   -0.2038282207868385 : 1.5707963267948966 : False : False :  Reals
      (3, 1) : -1.5707963267948966 :  -0.08215070537057086 : 1.5707963267948966 : False : False :  Reals
      (3, 2) : -1.5707963267948966 :  -0.08203633036670437 : 1.5707963267948966 : False : False :  Reals
      (3, 3) : -1.5707963267948966 :  -0.08400432243343839 : 1.5707963267948966 : False : False :  Reals
      (3, 4) : -1.5707963267948966 :  -0.08698114770594216 : 1.5707963267948966 : False : False :  Reals
      (3, 5) : -1.5707963267948966 :  -0.08910405639905275 : 1.5707963267948966 : False : False :  Reals
      (3, 6) : -1.5707963267948966 :   -0.0918634451580246 : 1.5707963267948966 : False : False :  Reals
      (3, 7) : -1.5707963267948966 :  -0.09191083968159842 : 1.5707963267948966 : False : False :  Reals
      (3, 8) : -1.5707963267948966 :  -0.09178814852044907 : 1.5707963267948966 : False : False :  Reals
      (3, 9) : -1.5707963267948966 :   -0.0942618142319154 : 1.5707963267948966 : False : False :  Reals
     (3, 10) : -1.5707963267948966 :  -0.09386312779028191 : 1.5707963267948966 : False : False :  Reals
     (3, 11) : -1.5707963267948966 :  -0.09975722264147015 : 1.5707963267948966 : False : False :  Reals
     (3, 12) : -1.5707963267948966 :  -0.09649513580144058 : 1.5707963267948966 : False : False :  Reals
     (3, 13) : -1.5707963267948966 :  -0.09020961937631292 : 1.5707963267948966 : False : False :  Reals
     (3, 14) : -1.5707963267948966 :  -0.09074937239925242 : 1.5707963267948966 : False : False :  Reals
     (3, 15) : -1.5707963267948966 :  -0.08508683700331214 : 1.5707963267948966 : False : False :  Reals
     (3, 16) : -1.5707963267948966 :  -0.09588859371510754 : 1.5707963267948966 : False : False :  Reals
     (3, 17) : -1.5707963267948966 :  -0.10268299563802365 : 1.5707963267948966 : False : False :  Reals
     (3, 18) : -1.5707963267948966 :   -0.1105353586298653 : 1.5707963267948966 : False : False :  Reals
     (3, 19) : -1.5707963267948966 :   -0.1075763522803376 : 1.5707963267948966 : False : False :  Reals
     (3, 20) : -1.5707963267948966 :   -0.1036536120987505 : 1.5707963267948966 : False : False :  Reals
     (3, 21) : -1.5707963267948966 :  -0.09594754387958429 : 1.5707963267948966 : False : False :  Reals
     (3, 22) : -1.5707963267948966 :  -0.08518169115244799 : 1.5707963267948966 : False : False :  Reals
     (3, 23) : -1.5707963267948966 :  -0.08815762000257235 : 1.5707963267948966 : False : False :  Reals
     (3, 24) : -1.5707963267948966 :  -0.08881390307367383 : 1.5707963267948966 : False : False :  Reals
