Resultados para a variável: Pg
Pg : Size=240, Index=GB*t
    Key      : Lower  : Value              : Upper : Fixed : Stale : Domain
      (1, 1) :  0.304 : 0.7392722423318732 :  1.52 : False : False : NonNegativeReals
      (1, 2) :  0.304 : 0.6956525052390929 :  1.52 : False : False : NonNegativeReals
      (1, 3) :  0.304 : 0.6621146885120761 :  1.52 : False : False : NonNegativeReals
      (1, 4) :  0.304 : 0.6477119451324066 :  1.52 : False : False : NonNegativeReals
      (1, 5) :  0.304 : 0.6359839969518004 :  1.52 : False : False : NonNegativeReals
      (1, 6) :  0.304 : 0.6458601638407322 :  1.52 : False : False : NonNegativeReals
      (1, 7) :  0.304 : 0.6769289388454945 :  1.52 : False : False : NonNegativeReals
      (1, 8) :  0.304 : 0.7038826443132024 :  1.52 : False : False : NonNegativeReals
      (1, 9) :  0.304 :  0.762522385216232 :  1.52 : False : False : NonNegativeReals
     (1, 10) :  0.304 : 0.8499676128786439 :  1.52 : False : False : NonNegativeReals
     (1, 11) :  0.304 : 0.9061383120594406 :  1.52 : False : False : NonNegativeReals
     (1, 12) :  0.304 : 0.9209525623928365 :  1.52 : False : False : NonNegativeReals
     (1, 13) :  0.304 :  0.940293389216994 :  1.52 : False : False : NonNegativeReals
     (1, 14) :  0.304 :  0.900994475138122 :  1.52 : False : False : NonNegativeReals
     (1, 15) :  0.304 : 0.8818594017908179 :  1.52 : False : False : NonNegativeReals
     (1, 16) :  0.304 : 0.8849457039436087 :  1.52 : False : False : NonNegativeReals
     (1, 17) :  0.304 : 0.9439969518003429 :  1.52 : False : False : NonNegativeReals
     (1, 18) :  0.304 : 1.0800000000000003 :  1.52 : False : False : NonNegativeReals
     (1, 19) :  0.304 : 1.0623052009906648 :  1.52 : False : False : NonNegativeReals
     (1, 20) :  0.304 : 1.0112783387311868 :  1.52 : False : False : NonNegativeReals
     (1, 21) :  0.304 : 0.9586054486568875 :  1.52 : False : False : NonNegativeReals
     (1, 22) :  0.304 : 0.8740407696704141 :  1.52 : False : False : NonNegativeReals
     (1, 23) :  0.304 :  0.805524861878453 :  1.52 : False : False : NonNegativeReals
     (1, 24) :  0.304 : 0.7921508858830258 :  1.52 : False : False : NonNegativeReals
      (2, 1) :  0.304 : 0.6639759954277009 :  1.52 : False : False : NonNegativeReals
      (2, 2) :  0.304 : 0.6247990093351112 :  1.52 : False : False : NonNegativeReals
      (2, 3) :  0.304 : 0.5946770813488091 :  1.52 : False : False : NonNegativeReals
      (2, 4) :  0.304 :  0.581741284054106 :  1.52 : False : False : NonNegativeReals
      (2, 5) :  0.304 : 0.5712078491141171 :  1.52 : False : False : NonNegativeReals
      (2, 6) :  0.304 : 0.5800781101162131 :  1.52 : False : False : NonNegativeReals
      (2, 7) :  0.304 :  0.607982472851972 :  1.52 : False : False : NonNegativeReals
      (2, 8) :  0.304 : 0.6321908935035243 :  1.52 : False : False : NonNegativeReals
      (2, 9) :  0.304 : 0.6848580682034675 :  1.52 : False : False : NonNegativeReals
     (2, 10) :  0.304 :  0.763396837492856 :  1.52 : False : False : NonNegativeReals
     (2, 11) :  0.304 : 0.8138464469422754 :  1.52 : False : False : NonNegativeReals
     (2, 12) :  0.304 :  0.827151838445418 :  1.52 : False : False : NonNegativeReals
     (2, 13) :  0.304 : 0.8445227662411892 :  1.52 : False : False : NonNegativeReals
     (2, 14) :  0.304 :  0.809226519337017 :  1.52 : False : False : NonNegativeReals
     (2, 15) :  0.304 : 0.7920403886454569 :  1.52 : False : False : NonNegativeReals
     (2, 16) :  0.304 : 0.7948123452086115 :  1.52 : False : False : NonNegativeReals
     (2, 17) :  0.304 : 0.8478491141169747 :  1.52 : False : False : NonNegativeReals
     (2, 18) :  0.304 : 0.9700000000000002 :  1.52 : False : False : NonNegativeReals
     (2, 19) :  0.304 : 0.9541074490379119 :  1.52 : False : False : NonNegativeReals
     (2, 20) :  0.304 :  0.908277767193751 :  1.52 : False : False : NonNegativeReals
     (2, 21) :  0.304 : 0.8609697085159081 :  1.52 : False : False : NonNegativeReals
     (2, 22) :  0.304 : 0.7850180986854646 :  1.52 : False : False : NonNegativeReals
