Resultados para a variável: Qg
Qg : Size=240, Index=GB*t
    Key      : Lower : Value               : Upper : Fixed : Stale : Domain
      (1, 1) :     0 : 0.15059249380834455 :  1.92 : False : False : NonNegativeReals
      (1, 2) :     0 :  0.1417069918079634 :  1.92 : False : False : NonNegativeReals
      (1, 3) :     0 : 0.13487521432653407 :  1.92 : False : False : NonNegativeReals
      (1, 4) :     0 :  0.1319413221566014 :  1.92 : False : False : NonNegativeReals
      (1, 5) :     0 :  0.1295522956753668 :  1.92 : False : False : NonNegativeReals
      (1, 6) :     0 : 0.13156410744903807 :  1.92 : False : False : NonNegativeReals
      (1, 7) :     0 : 0.13789293198704525 :  1.92 : False : False : NonNegativeReals
      (1, 8) :     0 : 0.14338350161935606 :  1.92 : False : False : NonNegativeReals
      (1, 9) :     0 : 0.15532863402552874 :  1.92 : False : False : NonNegativeReals
     (1, 10) :     0 : 0.17314155077157561 :  1.92 : False : False : NonNegativeReals
     (1, 11) :     0 :  0.1845837302343305 :  1.92 : False : False : NonNegativeReals
     (1, 12) :     0 : 0.18760144789483707 :  1.92 : False : False : NonNegativeReals
     (1, 13) :     0 : 0.19154124595160993 :  1.92 : False : False : NonNegativeReals
     (1, 14) :     0 : 0.18353591160221006 :  1.92 : False : False : NonNegativeReals
     (1, 15) :     0 : 0.17963802629072217 :  1.92 : False : False : NonNegativeReals
     (1, 16) :     0 :  0.1802667174699944 :  1.92 : False : False : NonNegativeReals
     (1, 17) :     0 : 0.19229567536673656 :  1.92 : False : False : NonNegativeReals
     (1, 18) :     0 : 0.22000000000000008 :  1.92 : False : False : NonNegativeReals
     (1, 19) :     0 : 0.21639550390550583 :  1.92 : False : False : NonNegativeReals
     (1, 20) :     0 :  0.2060011430748714 :  1.92 : False : False : NonNegativeReals
     (1, 21) :     0 :  0.1952714802819586 :  1.92 : False : False : NonNegativeReals
     (1, 22) :     0 : 0.17804534196989918 :  1.92 : False : False : NonNegativeReals
     (1, 23) :     0 : 0.16408839779005524 :  1.92 : False : False : NonNegativeReals
     (1, 24) :     0 :  0.1613640693465423 :  1.92 : False : False : NonNegativeReals
      (2, 1) :     0 : 0.13690226709849507 :  1.92 : False : False : NonNegativeReals
      (2, 2) :     0 : 0.12882453800723945 :  1.92 : False : False : NonNegativeReals
      (2, 3) :     0 : 0.12261383120594005 :  1.92 : False : False : NonNegativeReals
      (2, 4) :     0 : 0.11994665650600125 :  1.92 : False : False : NonNegativeReals
      (2, 5) :     0 : 0.11777481425033344 :  1.92 : False : False : NonNegativeReals
      (2, 6) :     0 : 0.11960373404458004 :  1.92 : False : False : NonNegativeReals
      (2, 7) :     0 : 0.12535721089731386 :  1.92 : False : False : NonNegativeReals
      (2, 8) :     0 : 0.13034863783577824 :  1.92 : False : False : NonNegativeReals
      (2, 9) :     0 : 0.14120784911411705 :  1.92 : False : False : NonNegativeReals
     (2, 10) :     0 : 0.15740140979234146 :  1.92 : False : False : NonNegativeReals
     (2, 11) :     0 : 0.16780339112211864 :  1.92 : False : False : NonNegativeReals
     (2, 12) :     0 : 0.17054677081348826 :  1.92 : False : False : NonNegativeReals
     (2, 13) :     0 : 0.17412840541055447 :  1.92 : False : False : NonNegativeReals
     (2, 14) :     0 : 0.16685082872928186 :  1.92 : False : False : NonNegativeReals
     (2, 15) :     0 : 0.16330729662792925 :  1.92 : False : False : NonNegativeReals
     (2, 16) :     0 : 0.16387883406363124 :  1.92 : False : False : NonNegativeReals
