Resultados para a variável: V
V : Size=576, Index=i*t
    Key      : Lower : Value              : Upper : Fixed : Stale : Domain
      (1, 1) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
      (1, 2) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
      (1, 3) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
      (1, 4) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
      (1, 5) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
      (1, 6) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
      (1, 7) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
      (1, 8) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
      (1, 9) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
     (1, 10) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
     (1, 11) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
     (1, 12) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
     (1, 13) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
     (1, 14) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
     (1, 15) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
     (1, 16) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
     (1, 17) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
     (1, 18) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
     (1, 19) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
     (1, 20) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
     (1, 21) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
     (1, 22) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
     (1, 23) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
     (1, 24) :   0.9 : 1.0327381544766234 :   1.1 : False : False :  Reals
      (2, 1) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
      (2, 2) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
      (2, 3) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
      (2, 4) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
      (2, 5) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
      (2, 6) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
      (2, 7) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
      (2, 8) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
      (2, 9) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
     (2, 10) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
     (2, 11) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
     (2, 12) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
     (2, 13) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
     (2, 14) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
     (2, 15) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
     (2, 16) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
     (2, 17) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
     (2, 18) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
     (2, 19) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
     (2, 20) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
     (2, 21) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
     (2, 22) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
     (2, 23) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
     (2, 24) :   0.9 : 1.0525190259509705 :   1.1 : False : False :  Reals
      (3, 1) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
      (3, 2) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
      (3, 3) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
      (3, 4) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
      (3, 5) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
      (3, 6) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
      (3, 7) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
      (3, 8) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
      (3, 9) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
     (3, 10) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
     (3, 11) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
     (3, 12) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
     (3, 13) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
     (3, 14) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
     (3, 15) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
     (3, 16) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
     (3, 17) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
     (3, 18) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
     (3, 19) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
     (3, 20) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
     (3, 21) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
     (3, 22) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
     (3, 23) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
     (3, 24) :   0.9 : 1.0273326008037935 :   1.1 : False : False :  Reals
      (4, 1) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
      (4, 2) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
      (4, 3) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
      (4, 4) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
      (4, 5) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
      (4, 6) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
      (4, 7) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
      (4, 8) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
      (4, 9) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
     (4, 10) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
     (4, 11) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
     (4, 12) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
     (4, 13) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
     (4, 14) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
     (4, 15) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
     (4, 16) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
     (4, 17) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
     (4, 18) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
     (4, 19) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
     (4, 20) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
     (4, 21) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
     (4, 22) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
     (4, 23) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
     (4, 24) :   0.9 :  1.039592364532859 :   1.1 : False : False :  Reals
      (5, 1) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
      (5, 2) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
      (5, 3) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
      (5, 4) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
      (5, 5) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
      (5, 6) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
      (5, 7) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
      (5, 8) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
      (5, 9) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
     (5, 10) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
     (5, 11) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
     (5, 12) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
     (5, 13) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
     (5, 14) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
     (5, 15) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
     (5, 16) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
     (5, 17) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
     (5, 18) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
     (5, 19) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
     (5, 20) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
     (5, 21) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
     (5, 22) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
     (5, 23) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
     (5, 24) :   0.9 : 1.0288727664157518 :   1.1 : False : False :  Reals
      (6, 1) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
      (6, 2) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
      (6, 3) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
      (6, 4) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
      (6, 5) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
      (6, 6) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
      (6, 7) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
      (6, 8) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
      (6, 9) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
     (6, 10) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
     (6, 11) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
     (6, 12) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
     (6, 13) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
     (6, 14) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
     (6, 15) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
     (6, 16) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
     (6, 17) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
     (6, 18) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
     (6, 19) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
     (6, 20) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
     (6, 21) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
     (6, 22) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
     (6, 23) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
     (6, 24) :   0.9 :  1.099318134344805 :   1.1 : False : False :  Reals
      (7, 1) :   0.9 : 1.0292232416298996 :   1.1 : False : False :  Reals
      (7, 2) :   0.9 : 1.0292232416298996 :   1.1 : False : False :  Reals
      (7, 3) :   0.9 : 1.0292232416298996 :   1.1 : False : False :  Reals
